Date,Temp_0m,Temp_1m,Temp_2m,Temp_3m,Temp_4m,Temp_5m,Temp_6m,Temp_7m,Temp_8m,Temp_9m,Temp_10m,Temp_11m,Temp_12m,Temp_Bottom,year,dayofyear,thermoclineDepth_m_thresh0.1,thermoclineDepth_m_maxdiff,stability_Jperm2,buoyancyfrequency_1_s2,EpiTemp_degC,HypoTemp_degC,VolumeWeightedMeanTemp_degC,weekofyear,DeltaSurfaceDeep_degC
1985-01-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,20,NA,NA,NA,NA,NA,NA,NA,3,NA
1986-01-20,2.46031746031746,2.4126984126984143,2.5634920634920633,2.722222222222222,2.8650793650793647,2.9841269841269855,3.1507936507936507,3.238095238095239,3.3492063492063497,3.4603174603174605,3.579365079365079,3.6587301587301595,3.738095238095238,NA,1986,20,NA,1.6428571428571428,2.8169401269293175,6.88629013817541e-5,2.5661375661375665,3.658730158730159,3.1084482250562915,3,-1.0925925925925926
1987-01-20,1.188034188034189,2.7820512820512824,3.3589743589743595,3.4102564102564097,3.3846153846153855,3.3846153846153855,3.4102564102564097,3.44017094017094,3.495726495726496,3.5256410256410247,3.581196581196581,3.662393162393163,3.7735042735042743,3.8547008547008543,1987,20,NA,0.5,2.8596047642122784,5.23104191389607e-4,3.183760683760684,3.672364672364673,3.3360757754029713,3,-0.4886039886039888
1988-01-20,3.6666666666666674,4.722222222222222,4.61111111111111,4.500000000000001,4.500000000000001,4.388888888888888,4.333333333333332,4.2777777777777795,4.2777777777777795,4.2777777777777795,4.222222222222223,4.222222222222223,4.222222222222223,4.222222222222223,1988,20,NA,1.5,0.38395401974934684,1.1712879967573468e-5,4.611111111111111,4.222222222222223,4.352217793773547,3,0.3888888888888875
1989-01-20,3.773148148148148,4.833333333333334,4.671296296296298,4.50462962962963,4.416666666666668,4.416666666666668,4.38425925925926,4.296296296296296,4.24074074074074,4.24074074074074,4.208333333333334,4.152777777777778,4.1759259259259265,4.199074074074074,1989,20,NA,1.0833333333333335,1.3673182447392136,1.9776174597584042e-4,4.669753086419754,4.179012345679013,4.3589501197602925,3,0.49074074074074137
1990-01-20,2.775,4.300000000000002,4.244444444444445,4.241666666666667,4.180555555555556,4.177777777777778,4.166666666666667,4.111111111111111,4.058333333333333,4.058333333333333,4.005555555555557,4.008333333333335,4.008333333333335,4.116666666666666,1990,20,NA,0.5,0.4621905985358887,1.079683131611889e-4,4.262037037037038,4.007407407407409,4.073708116302923,3,0.2546296296296289
1991-01-20,2.682539682539683,3.5714285714285716,3.5873015873015874,3.563492063492065,3.507936507936509,3.507936507936509,3.4841269841269846,3.5158730158730167,3.571428571428571,3.6269841269841274,3.714285714285714,3.7777777777777763,3.8253968253968247,3.9126984126984135,1991,20,NA,0.5,0.6490369216782109,1.1639740483706604e-4,3.574074074074075,3.7724867724867717,3.5780882756195505,3,-0.19841269841269682
1992-01-20,1.6825396825396834,3.7222222222222223,3.674603174603174,3.65079365079365,3.65079365079365,3.65079365079365,3.579365079365079,3.579365079365079,3.579365079365079,3.579365079365079,3.579365079365079,3.579365079365079,3.587301587301587,3.6904761904761916,1992,20,NA,0.5,1.383736206319984,4.238702029246706e-4,3.682539682539682,3.582010582010582,3.534048168299247,3,0.10052910052910002
1993-01-20,1.4166666666666652,1.675925925925926,1.722222222222223,1.722222222222223,1.787037037037038,1.8981481481481475,2.000000000000001,2.0648148148148158,2.1203703703703694,2.2222222222222223,2.287037037037038,2.3888888888888875,2.4907407407407405,2.8148148148148158,1993,20,NA,2.5,5.071527336325772,2.513689162123972e-4,1.7067901234567906,2.388888888888889,2.0322740452484593,3,-0.6820987654320982
1994-01-20,0.4722222222222221,1.9791666666666663,2.7152777777777763,2.861111111111112,2.958333333333332,3.0625000000000004,3.0625000000000004,3.0625000000000004,3.111111111111112,3.1666666666666683,3.222222222222221,3.2777777777777772,3.3333333333333335,3.5486111111111103,1994,20,NA,0.5,5.525540893439923,7.002502229460532e-4,2.518518518518518,3.2777777777777772,2.8674735720047457,3,-0.7592592592592591
1995-01-20,3.569444444444446,2.930555555555556,2.8263888888888875,2.722222222222223,2.708333333333334,2.659722222222222,2.6111111111111103,2.6875,2.6805555555555545,2.666666666666665,2.7222222222222214,2.8263888888888897,2.8750000000000013,3.0347222222222228,1995,20,NA,11.875,0.12083528719843717,3.5374755854671635e-5,2.826388888888889,2.8078703703703707,2.8107203649435166,3,0.018518518518518157
1996-01-20,1.5138888888888897,2.1111111111111107,3.055555555555556,3.3333333333333335,3.520833333333332,3.5763888888888884,3.5972222222222223,3.6527777777777786,3.7430555555555562,3.756944444444444,3.8333333333333326,3.8888888888888893,3.8888888888888893,3.993055555555555,1996,20,NA,1.125,3.4637088726244434,3.3009673086639523e-4,2.8333333333333335,3.8703703703703702,3.3850381699934693,3,-1.0370370370370368
1997-01-20,1.1666666666666674,1.944444444444445,1.841269841269842,1.7777777777777777,1.7222222222222214,1.7222222222222214,1.7222222222222214,1.7222222222222214,1.7539682539682537,1.841269841269842,2.2698412698412707,2.6904761904761894,2.992063492063491,3.3095238095238093,1997,20,NA,0.5,5.383787778114401,3.0489849445770477e-4,1.8544973544973549,2.6507936507936503,2.0470782811607604,3,-0.7962962962962954
