variable,overall_mean_sensSlope_slope,overall_sd_mean_sensSlope_slope,overall_max_mean_sensSlope_slope,overall_min_mean_sensSlope_slope,overall_tstat_mean_sensSlope_slope,overall_pvalue_mean_sensSlope_slope,overall_df_mean_sensSlope_slope
iceIn,0.0670949324216436,0.02854433321492092,0.11301356254026332,0.020118769760059645,12.213825176053497,8.274427012113485e-13,26
iceOut,0.027336642589547096,0.007767237590972023,0.044147488237975804,0.017052189035785335,18.28775802937223,4.861310804745982e-17,26
duration,0.1408341156650714,0.023008526042460283,0.18571928659741258,0.10881015416429964,31.805406828857276,3.0759425041334896e-23,26
