Date,Temp_0m,Temp_1m,Temp_2m,Temp_3m,Temp_4m,Temp_5m,Temp_6m,Temp_7m,Temp_8m,Temp_9m,Temp_10m,Temp_11m,Temp_12m,Temp_Bottom,year,dayofyear,thermoclineDepth_m_thresh0.1,thermoclineDepth_m_maxdiff,stability_Jperm2,buoyancyfrequency_1_s2,EpiTemp_degC,HypoTemp_degC,VolumeWeightedMeanTemp_degC,weekofyear,DeltaSurfaceDeep_degC
1985-07-20,24.055555555555554,23.55555555555556,23.388888888888886,23.166666666666668,21.944444444444446,17.944444444444443,15.388888888888891,11.444444444444446,9.555555555555557,8,7.277777777777779,6.944444444444445,6.944444444444445,NA,1985,201,4.5,4.5,421.100161602254,0.00808331318402188,23.37037037037037,7.055555555555556,15.28532522602987,29,16.314814814814813
1986-07-20,23.956790123456795,23.84567901234568,23.84567901234568,22.907407407407412,21.438271604938272,18.51851851851852,14.481481481481481,11.56172839506173,9.56172839506173,8.246913580246913,7.296296296296296,6.753086419753088,6.277777777777777,6.172839506172841,1986,201,5.055555555555555,5.055555555555555,428.85889106386475,0.007064224486133156,23.53292181069959,6.775720164609053,15.165023398361123,29,16.757201646090536
1987-07-20,25.746031746031747,25.11111111111111,24.769841269841272,24.15873015873016,22.547619047619047,18.206349206349206,14.626984126984127,11.904761904761907,10.047619047619047,8.261904761904763,7.23015873015873,6.674603174603175,6.309523809523809,6.1984126984127,1987,201,4.5,4.5,479.8005855727335,0.008980315983495706,24.67989417989418,6.738095238095238,15.682226737167591,29,17.941798941798943
1988-07-19,25.166666666666664,24.76851851851852,24.620370370370374,24.259259259259263,20.851851851851855,16.63888888888889,13.61111111111111,11.546296296296298,9.722222222222223,8.296296296296296,7.509259259259259,6.972222222222222,6.666666666666667,6.500000000000002,1988,201,3.6666666666666665,3.6666666666666665,458.5605288084118,0.008931098656788171,24.549382716049386,7.049382716049383,15.33555310050216,29,17.500000000000004
1989-07-20,24.857142857142858,24.18253968253968,23.28571428571429,22.626984126984127,19.198412698412696,15.182539682539684,12.134920634920636,10.499999999999998,8.84126984126984,7.912698412698415,7.23015873015873,6.912698412698412,6.6269841269841265,6.515873015873018,1989,201,3.642857142857143,3.642857142857143,416.5207918512431,0.007775412038982018,23.365079365079364,6.923280423280423,14.496080092389901,29,16.44179894179894
1990-07-20,24.555555555555557,24.20634920634921,22.880952380952383,21.976190476190478,21.174603174603178,18.730158730158735,15.063492063492063,12.246031746031745,10.23015873015873,9.079365079365077,8.357142857142858,7.682539682539681,7.333333333333335,7.174603174603174,1990,201,5.5,5.5,413.758068597548,0.006213550691986758,23.021164021164022,7.791005291005291,15.516620466541632,29,15.230158730158731
1991-07-20,24.233333333333334,23.811111111111114,23.633333333333333,23.299999999999997,22.32222222222222,19.7,15.700000000000001,12.544444444444444,10.433333333333334,9.122222222222224,7.9,7.1,6.233333333333334,6.1,1991,201,5.3,5.3,435.29723902674175,0.007560300415040093,23.581481481481482,7.077777777777778,15.653228323207639,29,16.503703703703703
1992-07-19,22.51984126984127,22.51984126984127,22.011904761904763,21.61904761904762,20.992063492063494,16.992063492063494,13.861111111111112,10.964285714285715,9.277777777777779,8.222222222222221,7.4325396825396846,6.912698412698412,6.615079365079365,6.448412698412699,1992,201,4.5,4.5,370.3428601292834,0.007695853941498163,22.05026455026455,6.986772486772487,14.515262225281054,29,15.063492063492063
1993-07-20,23.746031746031747,23.555555555555557,23.396825396825395,23.07936507936508,21.8968253968254,17.071428571428573,13.515873015873014,11.269841269841272,9.904761904761903,8.753968253968255,7.873015873015875,7.357142857142857,7.095238095238095,6.928571428571429,1993,201,4.5,4.5,414.65584811690667,0.0095137735113038,23.343915343915345,7.441798941798942,15.18583303727236,29,15.902116402116402
1994-07-20,24.355555555555554,24.522222222222222,24.522222222222222,24.37777777777778,23.11111111111111,18.755555555555556,14.455555555555556,11.255555555555556,9.122222222222222,7.866666666666667,6.8999999999999995,6.411111111111111,6.166666666666668,6.022222222222221,1994,201,4.5,4.5,465.69961158655576,0.009264419630498276,24.474074074074075,6.492592592592593,15.44420823446683,29,17.98148148148148
1995-07-20,24.59027777777778,24.541666666666668,24.430555555555557,24.368055555555557,21.166666666666664,17.36111111111111,13.479166666666666,10.833333333333334,9.090277777777779,8.152777777777779,7.36111111111111,6.965277777777779,6.6944444444444455,6.534722222222221,1995,201,3.625,3.625,452.16978508500324,0.008000503156372529,24.44675925925926,7.006944444444445,15.246710675434885,29,17.439814814814817
1996-07-19,26.09722222222223,25.527777777777782,22.979166666666668,21.84722222222222,20.124999999999996,16.555555555555557,12.770833333333332,10.368055555555557,8.38888888888889,7.256944444444445,6.458333333333334,6.131944444444445,5.902777777777779,5.840277777777779,1996,201,1.875,1.875,446.9744475435059,0.006983718708425514,23.45138888888889,6.164351851851852,14.536625199307274,29,17.287037037037038
1997-07-20,20.551091269841272,20.38938492063492,20.231150793650794,20.120039682539684,19.983630952380953,17.438988095238095,13.746527777777775,10.816468253968257,9.111607142857144,7.994047619047617,7.206349206349208,6.8040674603174605,6.457341269841271,6.410218253968255,1997,201,NA,4.741071428571429,342.41707478403475,0.006446081115359361,20.246858465608465,6.8225859788359795,13.81486211075879,29,13.424272486772486
1998-07-20,25.02777777777778,24.944444444444446,24.19444444444445,23.555555555555557,20.888888888888893,17.888888888888886,14.388888888888891,11.416666666666668,9.166666666666668,7.722222222222223,6.833333333333334,6.222222222222222,5.8611111111111125,5.666666666666666,1998,201,4.5,4.5,458.0217089527329,0.006988289516991793,24.231481481481485,6.305555555555556,15.113442827477282,29,17.925925925925927
