Year,Month,Day,NAO_index
1948,1,1,-87.04
1948,1,2,-72.39
1948,1,3,-60.47
1948,1,4,-62
1948,1,5,-36.48
1948,1,6,-25.51
1948,1,7,-30.01
1948,1,8,-42.51
1948,1,9,-66.63
1948,1,10,-84.36
1948,1,11,-55.47
1948,1,12,11.01
1948,1,13,34.05
1948,1,14,34.89
1948,1,15,50.19
1948,1,16,89.74
1948,1,17,141.79
1948,1,18,152.96
1948,1,19,63.53
1948,1,20,50.41
1948,1,21,132.34
1948,1,22,73.8
1948,1,23,41.29
1948,1,24,116.82
1948,1,25,89.93
1948,1,26,0.83
1948,1,27,-66.05
1948,1,28,-106.47
1948,1,29,-90.07
1948,1,30,-52.54
1948,1,31,-31.4
1948,2,1,-21.94
1948,2,2,74.86
1948,2,3,82.32
1948,2,4,85.62
1948,2,5,137.84
1948,2,6,161.82
1948,2,7,101.59
1948,2,8,95.81
1948,2,9,83.11
1948,2,10,127.27
1948,2,11,180.11
1948,2,12,175.82
1948,2,13,122.06
1948,2,14,62.79
1948,2,15,33.29
1948,2,16,13.02
1948,2,17,-26.49
1948,2,18,-115.21
1948,2,19,-263.17
1948,2,20,-320.91
1948,2,21,-309.54
1948,2,22,-247.98
1948,2,23,-170.15
1948,2,24,-115.12
1948,2,25,-112.98
1948,2,26,-96.9
1948,2,27,-74.56
1948,2,28,-69.49
1948,2,29,-104.02
1948,3,1,-99.95
1948,3,2,-15.89
1948,3,3,-28.81
1948,3,4,-53.68
1948,3,5,-97.01
1948,3,6,-145.96
1948,3,7,-92.02
1948,3,8,-15.29
1948,3,9,50.13
1948,3,10,9.23
1948,3,11,12.24
1948,3,12,18.96
1948,3,13,-32.13
1948,3,14,60.43
1948,3,15,272.17
1948,3,16,364.17
1948,3,17,381.12
1948,3,18,379.96
1948,3,19,356.09
1948,3,20,258.3
1948,3,21,166.62
1948,3,22,115.2
1948,3,23,113.88
1948,3,24,81.6
1948,3,25,52.64
1948,3,26,-21.03
1948,3,27,-63.61
1948,3,28,-11.31
1948,3,29,90.86
1948,3,30,159.66
1948,3,31,218.17
1948,4,1,225.75
1948,4,2,216.42
1948,4,3,153.84
1948,4,4,79.06
1948,4,5,93.23
1948,4,6,108.2
1948,4,7,156.35
1948,4,8,181.4
1948,4,9,157.99
1948,4,10,89.93
1948,4,11,34.29
1948,4,12,50.91
1948,4,13,83.53
1948,4,14,124.14
1948,4,15,135.29
1948,4,16,91.31
1948,4,17,23.39
1948,4,18,-30.36
1948,4,19,-69.9
1948,4,20,-36.82
1948,4,21,21.84
1948,4,22,53.84
1948,4,23,46.76
1948,4,24,34.81
1948,4,25,-31.3
1948,4,26,-134
1948,4,27,-207.7
1948,4,28,-191.08
1948,4,29,-103.93
1948,4,30,-69.69
1948,5,1,-63.27
1948,5,2,2.55
1948,5,3,59.09
1948,5,4,84.49
1948,5,5,85.4
1948,5,6,79.26
1948,5,7,64.97
1948,5,8,65.37
1948,5,9,46.04
1948,5,10,54.83
1948,5,11,109.37
1948,5,12,157.68
1948,5,13,162.52
1948,5,14,113.13
1948,5,15,49.87
1948,5,16,-5.41
1948,5,17,-31.32
1948,5,18,-98.38
1948,5,19,-233.67
1948,5,20,-291.89
1948,5,21,-283.36
1948,5,22,-269.3
1948,5,23,-241.13
1948,5,24,-196.11
1948,5,25,-104.19
1948,5,26,-47.16
1948,5,27,-10.96
1948,5,28,36.96
1948,5,29,75.26
1948,5,30,79.24
1948,5,31,97.98
1948,6,1,112.95
1948,6,2,123.18
1948,6,3,120.88
1948,6,4,101.5
1948,6,5,65.33
1948,6,6,18.69
1948,6,7,-23
1948,6,8,-47.26
1948,6,9,-60.01
1948,6,10,-65.53
1948,6,11,-94.35
1948,6,12,-102.31
1948,6,13,-72.9
1948,6,14,-37.92
1948,6,15,-2.54
1948,6,16,-1.1
1948,6,17,-29.31
1948,6,18,-49.34
1948,6,19,-21.7
1948,6,20,34
1948,6,21,22.69
1948,6,22,-12.55
1948,6,23,-21.46
1948,6,24,-0.82
1948,6,25,40.34
1948,6,26,63.05
1948,6,27,33.1
1948,6,28,17.49
1948,6,29,-17.89
1948,6,30,-58.07
1948,7,1,-74.82
1948,7,2,-49.39
1948,7,3,-35.64
1948,7,4,-42.42
1948,7,5,-55.39
1948,7,6,-71.33
1948,7,7,-87.47
1948,7,8,-90.24
1948,7,9,-72.02
1948,7,10,-56.59
1948,7,11,-67.31
1948,7,12,-99.08
1948,7,13,-110.32
1948,7,14,-97.57
1948,7,15,-66.83
1948,7,16,-34.1
1948,7,17,-22.11
1948,7,18,-10.79
1948,7,19,-6.39
1948,7,20,9.11
1948,7,21,1.8
1948,7,22,22.06
1948,7,23,21.63
1948,7,24,17.87
1948,7,25,42.33
1948,7,26,67.44
1948,7,27,39.82
1948,7,28,-24.84
1948,7,29,-61.18
1948,7,30,-82.14
1948,7,31,-89.95
1948,8,1,-81.6
1948,8,2,-65.09
1948,8,3,-53.45
1948,8,4,-38.91
1948,8,5,-10.1
1948,8,6,0.69
1948,8,7,-22.84
1948,8,8,0.35
1948,8,9,57.36
1948,8,10,78.01
1948,8,11,67.52
1948,8,12,44.31
1948,8,13,14.35
1948,8,14,-12.08
1948,8,15,-33.94
1948,8,16,-28.44
1948,8,17,5.59
1948,8,18,22.6
1948,8,19,11.96
1948,8,20,-13.6
1948,8,21,-32.89
1948,8,22,-30.5
1948,8,23,-8.9
1948,8,24,3.77
1948,8,25,-2.12
1948,8,26,-17.91
1948,8,27,-29.29
1948,8,28,-4.22
1948,8,29,-2.18
1948,8,30,5.98
1948,8,31,3.37
1948,9,1,1.2
1948,9,2,-30.42
1948,9,3,-35.11
1948,9,4,0.45
1948,9,5,-8.72
1948,9,6,-13.57
1948,9,7,15.35
1948,9,8,29.73
1948,9,9,22.82
1948,9,10,5.59
1948,9,11,37.56
1948,9,12,79.34
1948,9,13,117.37
1948,9,14,108.26
1948,9,15,81.38
1948,9,16,49.28
1948,9,17,48.39
1948,9,18,38.85
1948,9,19,-6.42
1948,9,20,-94.57
1948,9,21,-175.66
1948,9,22,-203.76
1948,9,23,-182.54
1948,9,24,-126.92
1948,9,25,-99.02
1948,9,26,-39.78
1948,9,27,32.25
1948,9,28,4.74
1948,9,29,-70.18
1948,9,30,-76.23
1948,10,1,-21.24
1948,10,2,-12.75
1948,10,3,-81.95
1948,10,4,-101.5
1948,10,5,-91.73
1948,10,6,-85.52
1948,10,7,-65.03
1948,10,8,-58.74
1948,10,9,-85.5
1948,10,10,-59.37
1948,10,11,34.61
1948,10,12,98.98
1948,10,13,104.16
1948,10,14,140.17
1948,10,15,178.25
1948,10,16,218.61
1948,10,17,213.22
1948,10,18,142.14
1948,10,19,107.99
1948,10,20,115.7
1948,10,21,100.43
1948,10,22,80.49
1948,10,23,30.49
1948,10,24,9.82
1948,10,25,3.19
1948,10,26,14.68
1948,10,27,-18.41
1948,10,28,-13.8
1948,10,29,34.69
1948,10,30,61.58
1948,10,31,25.42
1948,11,1,-46.91
1948,11,2,-50.45
1948,11,3,0.84
1948,11,4,6.63
1948,11,5,-32.57
1948,11,6,-84.45
1948,11,7,-125.39
1948,11,8,-105.81
1948,11,9,-118.44
1948,11,10,-201.88
1948,11,11,-212.53
1948,11,12,-89.63
1948,11,13,-0.84
1948,11,14,50.86
1948,11,15,93.81
1948,11,16,117.66
1948,11,17,109.22
1948,11,18,71.66
1948,11,19,56.91
1948,11,20,-4.71
1948,11,21,-99.35
1948,11,22,-170.59
1948,11,23,-169.07
1948,11,24,-114.23
1948,11,25,-63.97
1948,11,26,-79.51
1948,11,27,-13.64
1948,11,28,6.88
1948,11,29,-35.58
1948,11,30,-67.6
1948,12,1,-62.65
1948,12,2,43.28
1948,12,3,119.04
1948,12,4,112.46
1948,12,5,69.18
1948,12,6,50.34
1948,12,7,-1.91
1948,12,8,-29.71
1948,12,9,-26.78
1948,12,10,-71.07
1948,12,11,-105.68
1948,12,12,-85.23
1948,12,13,-4.79
1948,12,14,39.72
1948,12,15,33.25
1948,12,16,9.97
1948,12,17,39.28
1948,12,18,27.28
1948,12,19,-85.93
1948,12,20,-183.07
1948,12,21,-215.5
1948,12,22,-216.33
1948,12,23,-231.84
1948,12,24,-213.86
1948,12,25,-145.28
1948,12,26,-41.53
1948,12,27,75.12
1948,12,28,207.48
1948,12,29,271.22
1948,12,30,273.23
