WKT,name,description
POINT (-74.1567383 41.7657351),Point 140,
POINT (-74.1567658 41.7657166),Point 141,
POINT (-74.1568356 41.7656936),Point 142,
POINT (-74.1569241 41.7656671),Point 143,
POINT (-74.1569797 41.7656516),Point 144,
POINT (-74.1570417 41.7656344),Point 145,
POINT (-74.1571302 41.7656179),Point 146,
POINT (-74.1572153 41.7655949),Point 147,
POINT (-74.1572884 41.7655764),Point 148,
POINT (-74.1574222 41.7654471),Point 149,
POINT (-74.1575073 41.7653641),Point 150,
POINT (-74.1575871 41.7652846),Point 151,
POINT (-74.1576187 41.7652564),Point 152,
POINT (-74.1576368 41.7652049),Point 153,
POINT (-74.1576609 41.7651304),Point 154,
POINT (-74.1577052 41.7650898),Point 155,
POINT (-74.1577514 41.7650458),Point 156,
POINT (-74.157791 41.7650133),Point 157,
POINT (-74.157846 41.7649258),Point 158,
POINT (-74.1578875 41.7648513),Point 159,
POINT (-74.1579432 41.7647642),Point 160,
POINT (-74.1579902 41.764706),Point 161,
POINT (-74.1580411 41.764644),Point 162,
POINT (-74.1581095 41.7645554),Point 163,
POINT (-74.1581585 41.7644984),Point 164,
POINT (-74.1581993 41.7643981),Point 165,
POINT (-74.1582563 41.7642526),Point 166,
POINT (-74.1583072 41.7641341),Point 167,
POINT (-74.1583393 41.7640598),Point 168,
POINT (-74.1583768 41.7639747),Point 169,
POINT (-74.1584264 41.7639117),Point 170,
POINT (-74.1584948 41.7638252),Point 171,
POINT (-74.1585533 41.7637647),Point 172,
POINT (-74.1586244 41.7636907),Point 173,
POINT (-74.1586973 41.7636638),Point 174,
POINT (-74.1587972 41.7636283),Point 175,
POINT (-74.1588629 41.7635798),Point 176,
POINT (-74.1589118 41.7635428),Point 177,
POINT (-74.1590015 41.7635545),Point 178,
POINT (-74.1590927 41.7635685),Point 179,
POINT (-74.1591597 41.763556),Point 180,
POINT (-74.1592181 41.7635455),Point 181,
POINT (-74.1592469 41.7635585),Point 182,
POINT (-74.159259 41.7635535),Point 183,
POINT (-74.1592871 41.7635129),Point 184,
POINT (-74.1593307 41.7634759),Point 185,
POINT (-74.1594065 41.7634769),Point 186,
POINT (-74.1594554 41.7634999),Point 187,
POINT (-74.1594977 41.7635695),Point 188,
POINT (-74.1594967 41.7636481),Point 189,
POINT (-74.1594934 41.7637802),Point 190,
POINT (-74.1594886 41.763896),Point 191,
POINT (-74.159488 41.7639605),Point 192,
POINT (-74.159426 41.7640688),Point 193,
POINT (-74.1594112 41.7640929),Point 194,
POINT (-74.1593757 41.7641774),Point 195,
POINT (-74.1593428 41.7642569),Point 196,
POINT (-74.1593066 41.7643444),Point 197,
POINT (-74.1592644 41.764411),Point 198,
POINT (-74.1592382 41.7644555),Point 199,
POINT (-74.1592094 41.7645215),Point 200,
POINT (-74.1591894 41.7645742),Point 201,
