"","Date","Precip_mm","Snow_mm","SnowDepth_mm","TempMax_degC","TempMin_degC","TempMean_degC"
"1",1930-01-01,0,0,NA,2.22222222222222,-1.66666666666667,0.277777777777778
"2",1930-01-02,0,0,NA,8.33333333333333,1.66666666666667,5
"3",1930-01-03,0,0,NA,8.88888888888889,1.11111111111111,5
"4",1930-01-04,0,0,NA,3.33333333333333,-7.22222222222222,-1.94444444444444
"5",1930-01-05,0,0,NA,-0.555555555555556,-15,-7.77777777777778
"6",1930-01-06,0,0,NA,5.55555555555556,-8.88888888888889,-1.66666666666667
"7",1930-01-07,0,0,NA,8.33333333333333,2.22222222222222,5.27777777777778
"8",1930-01-08,0,0,NA,11.1111111111111,7.22222222222222,9.16666666666667
"9",1930-01-09,0,0,NA,11.1111111111111,-3.88888888888889,3.61111111111111
"10",1930-01-10,0,0,NA,5.55555555555556,-5.55555555555556,0
"11",1930-01-11,0,0,NA,-1.11111111111111,-13.3333333333333,-7.22222222222222
"12",1930-01-12,6.096,0,NA,2.22222222222222,-8.88888888888889,-3.33333333333333
"13",1930-01-13,4.064,0,NA,5.55555555555556,-0.555555555555556,2.5
"14",1930-01-14,2.794,0,NA,2.22222222222222,0.555555555555556,1.38888888888889
"15",1930-01-15,0,0,NA,7.77777777777778,1.66666666666667,4.72222222222222
"16",1930-01-16,0,0,NA,6.11111111111111,-9.44444444444444,-1.66666666666667
"17",1930-01-17,0,0,NA,-1.11111111111111,-13.3333333333333,-7.22222222222222
"18",1930-01-18,12.446,152.4,152.4,-1.11111111111111,-9.44444444444444,-5.27777777777778
"19",1930-01-19,0,0,152.4,-3.88888888888889,-16.6666666666667,-10.2777777777778
"20",1930-01-20,0,0,152.4,-5.55555555555556,-13.8888888888889,-9.72222222222222
"21",1930-01-21,0,0,152.4,-3.33333333333333,-8.88888888888889,-6.11111111111111
"22",1930-01-22,3.556,50.8,203.2,-3.33333333333333,-7.77777777777778,-5.55555555555556
"23",1930-01-23,0,0,203.2,-6.11111111111111,-13.3333333333333,-9.72222222222222
"24",1930-01-24,0,0,203.2,-6.66666666666667,-15,-10.8333333333333
"25",1930-01-25,0,0,203.2,-5,-10.5555555555556,-7.77777777777778
"26",1930-01-26,0,0,203.2,-6.66666666666667,-17.7777777777778,-12.2222222222222
"27",1930-01-27,0,0,203.2,-3.88888888888889,-8.88888888888889,-6.38888888888889
"28",1930-01-28,2.032,25.4,177.8,3.33333333333333,-5.55555555555556,-1.11111111111111
"29",1930-01-29,0,0,177.8,2.77777777777778,-9.44444444444444,-3.33333333333333
"30",1930-01-30,0,0,177.8,-2.22222222222222,-13.3333333333333,-7.77777777777778
"31",1930-01-31,0,0,177.8,-5.55555555555556,-13.3333333333333,-9.44444444444444
"32",1930-02-01,0,0,177.8,-2.22222222222222,-10,-6.11111111111111
"33",1930-02-02,0,0,177.8,3.33333333333333,-5,-0.833333333333333
"34",1930-02-03,0,0,203.2,3.33333333333333,-7.22222222222222,-1.94444444444444
"35",1930-02-04,7.62,76.2,203.2,-1.11111111111111,-12.2222222222222,-6.66666666666667
"36",1930-02-05,0,0,279.4,0,-5.55555555555556,-2.77777777777778
"37",1930-02-06,0,0,279.4,-4.44444444444444,-19.4444444444444,-11.9444444444444
"38",1930-02-07,0,0,279.4,-2.22222222222222,-11.6666666666667,-6.94444444444444
"39",1930-02-08,0,0,279.4,-0.555555555555556,-8.33333333333333,-4.44444444444444
"40",1930-02-09,0,0,279.4,-1.11111111111111,-8.88888888888889,-5
"41",1930-02-10,0,0,279.4,0,-4.44444444444444,-2.22222222222222
"42",1930-02-11,0,0,279.4,-3.33333333333333,-11.1111111111111,-7.22222222222222
"43",1930-02-12,0,0,279.4,0,-11.1111111111111,-5.55555555555556
"44",1930-02-13,3.81,0,228.6,4.44444444444444,-2.22222222222222,1.11111111111111
"45",1930-02-14,3.556,50.8,279.4,4.44444444444444,-7.77777777777778,-1.66666666666667
"46",1930-02-15,5.08,76.2,355.6,-1.11111111111111,-10.5555555555556,-5.83333333333333
"47",1930-02-16,0,0,355.6,-6.11111111111111,-18.8888888888889,-12.5
"48",1930-02-17,0,0,355.6,-8.88888888888889,-21.1111111111111,-15
"49",1930-02-18,0,0,330.2,1.66666666666667,-11.1111111111111,-4.72222222222222
"50",1930-02-19,0,0,152.4,10.5555555555556,-1.11111111111111,4.72222222222222
"51",1930-02-20,0,0,0,16.6666666666667,6.66666666666667,11.6666666666667
"52",1930-02-21,0,0,0,15.5555555555556,10.5555555555556,13.0555555555556
"53",1930-02-22,0,0,NA,12.2222222222222,0,6.11111111111111
"54",1930-02-23,0,0,NA,11.1111111111111,1.66666666666667,6.38888888888889
"55",1930-02-24,0,0,NA,14.4444444444444,3.88888888888889,9.16666666666667
"56",1930-02-25,3.556,0,NA,17.7777777777778,7.77777777777778,12.7777777777778
"57",1930-02-26,5.588,25.4,25.4,13.3333333333333,-8.88888888888889,2.22222222222222
"58",1930-02-27,NA,25.4,50.8,7.22222222222222,-9.44444444444444,-1.11111111111111
"59",1930-02-28,0,0,25.4,2.77777777777778,-8.88888888888889,-3.05555555555556
"60",1930-03-01,0,NA,NA,3.33333333333333,-3.88888888888889,-0.277777777777778
"61",1930-03-02,0,NA,NA,3.33333333333333,-1.66666666666667,0.833333333333333
"62",1930-03-03,0,NA,NA,-1.11111111111111,-8.88888888888889,-5
"63",1930-03-04,0,NA,NA,-1.11111111111111,-10,-5.55555555555556
"64",1930-03-05,0,NA,NA,5.55555555555556,-8.33333333333333,-1.38888888888889
"65",1930-03-06,0,NA,NA,8.88888888888889,-2.22222222222222,3.33333333333333
"66",1930-03-07,0,NA,NA,6.66666666666667,-2.22222222222222,2.22222222222222
"67",1930-03-08,20.828,NA,NA,4.44444444444444,1.11111111111111,2.77777777777778
"68",1930-03-09,0,NA,NA,6.11111111111111,-0.555555555555556,2.77777777777778
"69",1930-03-10,0,NA,NA,12.7777777777778,0,6.38888888888889
"70",1930-03-11,0,NA,NA,11.1111111111111,2.22222222222222,6.66666666666667
"71",1930-03-12,0,NA,NA,5,-2.22222222222222,1.38888888888889
"72",1930-03-13,0,NA,NA,13.3333333333333,-2.77777777777778,5.27777777777778
"73",1930-03-14,0,NA,NA,12.2222222222222,-5.55555555555556,3.33333333333333
"74",1930-03-15,0,NA,NA,3.33333333333333,-3.33333333333333,0
"75",1930-03-16,2.794,NA,NA,5,-7.77777777777778,-1.38888888888889
"76",1930-03-17,0,NA,NA,12.7777777777778,-1.66666666666667,5.55555555555556
"77",1930-03-18,4.318,NA,NA,11.6666666666667,1.11111111111111,6.38888888888889
"78",1930-03-19,0,NA,NA,7.22222222222222,-2.77777777777778,2.22222222222222
"79",1930-03-20,0,NA,NA,8.88888888888889,-3.88888888888889,2.5
"80",1930-03-21,0,NA,NA,8.88888888888889,-3.88888888888889,2.5
"81",1930-03-22,0,NA,NA,0,-12.2222222222222,-6.11111111111111
"82",1930-03-23,0,NA,NA,5.55555555555556,-8.33333333333333,-1.38888888888889
"83",1930-03-24,0,NA,NA,11.1111111111111,-3.88888888888889,3.61111111111111
"84",1930-03-25,14.478,NA,NA,7.77777777777778,2.77777777777778,5.27777777777778
"85",1930-03-26,0,NA,NA,10,-0.555555555555556,4.72222222222222
"86",1930-03-27,0,0,NA,3.33333333333333,-3.88888888888889,-0.277777777777778
"87",1930-03-28,0,NA,NA,3.33333333333333,-2.77777777777778,0.277777777777778
"88",1930-03-29,0,NA,NA,6.11111111111111,-2.77777777777778,1.66666666666667
"89",1930-03-30,0,NA,NA,7.77777777777778,0,3.88888888888889
