Date,Max_Temp,Min_Temp,At_Obs_Temp,Precip_Total,Snowfall,Snow_on_Ground,Precip_Duration ,"Qualitative Weather (fog, thunder, etc.)"
6/1/2022,89,56,65,0.51,0,0,,
6/2/2022,72,61,71,0.44,0,0,,
6/3/2022,80,59,76,0.02,0,0,,
6/4/2022,79,54,76,0,0,0,,
6/5/2022,78,50,73,0,0,0,,
6/6/2022,79,53,75,0,0,0,,
6/7/2022,76,56,66,0.02,0,0,,
6/8/2022,78,62,75,0.12,0,0,,
6/9/2022,78,56,70,1.49,0,0,,
6/10/2022,75,54,75,0,0,0,,
6/11/2022,75,55,73,0,0,0,,
6/12/2022,73,57,65,0.04,0,0,,
6/13/2022,81,62,79,0.14,0,0,,
6/14/2022,81,56,76,0,0,0,,
6/15/2022,81,59,81,0.02,0,0,,
6/16/2022,81,59,67,0.48,0,0,,
6/17/2022,83,64,79,0.04,0,0,,
6/18/2022,82,56,56,0,0,0,,
6/19/2022,69,47,66,0,0,0,,
6/20/2022,78,53,74,0,0,0,,
6/21/2022,77,54,66,0.01,0,0,,
6/22/2022,67,59,60,0.06,0,0,,
6/23/2022,69,56,67,0.13,0,0,,
6/24/2022,83,58,78,0.02,0,0,,
6/25/2022,87,61,83,0,0,0,,
6/26/2022,87,66,84,0.02,0,0,,
6/27/2022,87,66,72,0.16,0,0,,
6/28/2022,76,57,73,0,0,0,,
6/29/2022,80,56,77,0.02,0,0,,
6/30/2022,83,58,81,0.02,0,0,,
