Date,Max_Temp,Min_Temp,At_Obs_Temp,Precip_Total,Snowfall,Snow_on_Ground,Precip_Duration ,"Qualitative Weather (fog, thunder, etc.)"
4/1/2022,62,43,43,1.76,0,0,,
4/2/2022,52,30,49,0,0,0,,
4/3/2022,52,34,36,0.25,T,T,,
4/4/2022,51,32,48,0.02,0,0,,
4/5/2022,59,33,56,0,0,0,,
4/6/2022,58,41,47,0.35,0,0,,
4/7/2022,48,43,48,1.82,0,0,,
4/8/2022,61,43,56,2.43,0,0,,
4/9/2022,60,40,47,0.32,0,0,,
4/10/2022,47,36,42,0.04,0,0,,
4/11/2022,60,31,57,0,0,0,,
4/12/2022,69,46,69,0.1,0,0,,
4/13/2022,76,44,76,0,0,0,,
4/14/2022,81,62,73,0,0,0,,
4/15/2022,78,41,66,0,0,0,,
4/16/2022,68,44,44,0.28,0,0,,
4/17/2022,59,32,41,0.41,0,0,,
4/18/2022,54,31,46,0,0,0,,
4/19/2022,48,31,43,1.54,T,T,,
4/20/2022,54,36,52,0,0,0,,
4/21/2022,58,35,53,0,0,0,,
4/22/2022,63,48,61,0,0,0,,
4/23/2022,63,40,59,0,0,0,,
4/24/2022,67,43,62,0,0,0,,
4/25/2022,65,41,57,0,0,0,,
4/26/2022,59,48,55,0.08,0,0,,
4/27/2022,55,40,44,0.16,0,0,,
4/28/2022,53,32,50,0,0,0,,
4/29/2022,59,34,56,0,0,0,,
4/30/2022,63,37,61,0,0,0,,
