station,time_end,temp_2m_max [degC],temp_2m_min [degC],temp_2m_avg [degC],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],precip_incremental [mm],precip_local [mm],wind_speed_prop_avg [m/s],wind_speed_prop_max [m/s],wind_direction_prop_avg [degrees],wind_speed_sonic_avg [m/s],wind_speed_sonic_max [m/s],wind_direction_sonic_avg [degrees],solar_insolation_avg [W/m^2],station_pressure_max [mbar],station_pressure_min [mbar],station_pressure_avg [mbar],solar_insolation_total [MJ/m^2]
HFAL,2017-09-01 01:00:00 EDT,13.5,12.9,13.2,69.4,64.2,65.5,0.00,0.00,1.3,5.9,9.3,1.6,7.3,10.2,0,994.63,994.01,994.39,0.0
HFAL,2017-09-01 02:00:00 EDT,12.8,11.4,12.2,66.4,62.9,64.9,0.00,0.00,1.0,4.0,360.0,1.3,5.0,0.7,0,994.96,994.62,994.73,0.0
HFAL,2017-09-01 03:00:00 EDT,11.5,10.2,10.9,64.5,58.2,61.4,0.00,0.00,0.9,4.9,345.9,1.2,5.5,343.5,0,995.11,994.82,994.97,0.0
HFAL,2017-09-01 04:00:00 EDT,10.1,9.3,9.6,68.2,63.9,66.6,0.00,0.00,0.5,3.1,261.1,0.8,3.6,267.8,0,995.16,995.04,995.09,0.0
HFAL,2017-09-01 05:00:00 EDT,9.7,8.6,9.2,69.1,64.6,66.6,0.00,0.00,0.6,3.3,256.3,0.8,4.2,263.7,0,995.66,995.13,995.37,0.0
HFAL,2017-09-01 06:00:00 EDT,9.3,8.9,9.0,69.2,66.7,67.8,0.00,0.00,0.7,3.7,330.6,1.0,4.8,328.8,0,996.05,995.77,995.86,0.0
HFAL,2017-09-01 07:00:00 EDT,9.1,8.7,8.9,69.0,67.0,68.4,0.00,0.00,0.5,2.8,310.4,0.8,3.6,313.5,10,996.57,996.05,996.36,0.0
HFAL,2017-09-01 08:00:00 EDT,9.1,8.3,8.6,72.8,68.0,70.9,0.00,0.00,0.8,3.6,245.0,1.0,3.9,252.8,44,996.80,996.56,996.69,0.2
HFAL,2017-09-01 09:00:00 EDT,11.9,9.1,10.5,71.5,53.7,65.2,0.00,0.00,1.2,5.0,295.1,1.5,6.2,299.9,261,997.03,996.80,996.93,0.9
HFAL,2017-09-01 10:00:00 EDT,13.6,12.0,12.7,56.6,46.9,50.9,0.00,0.00,1.7,5.7,1.6,2.2,6.8,3.1,526,997.49,997.02,997.30,1.9
HFAL,2017-09-01 11:00:00 EDT,15.3,13.6,14.2,47.3,39.8,43.8,0.00,0.00,2.0,6.9,2.2,2.6,8.0,4.1,651,997.30,997.16,997.24,2.3
HFAL,2017-09-01 12:00:00 EDT,16.5,15.4,16.0,43.9,39.8,40.9,0.00,0.00,1.7,5.8,354.6,2.2,7.4,356.9,780,997.33,997.13,997.26,2.8
HFAL,2017-09-01 13:00:00 EDT,17.9,16.4,17.3,41.2,37.0,39.0,0.00,0.00,1.7,6.0,3.9,2.1,7.2,4.9,816,997.05,996.68,996.90,2.9
HFAL,2017-09-01 14:00:00 EDT,18.6,17.6,18.2,39.3,34.7,36.9,0.00,0.00,1.4,6.3,343.1,1.8,7.2,342.4,798,996.75,996.33,996.59,2.9
