station,time_end,temp_2m_max [degC],temp_2m_min [degC],temp_2m_avg [degC],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],precip_incremental [mm],precip_local [mm],wind_speed_prop_avg [m/s],wind_speed_prop_max [m/s],wind_direction_prop_avg [degrees],wind_speed_sonic_avg [m/s],wind_speed_sonic_max [m/s],wind_direction_sonic_avg [degrees],solar_insolation_avg [W/m^2],station_pressure_max [mbar],station_pressure_min [mbar],station_pressure_avg [mbar],solar_insolation_total [MJ/m^2]
HFAL,2016-12-01 01:00:00 EST,8.1,7.9,8.0,99.2,98.5,98.9,,,1.0,4.0,46.0,1.4,6.1,45.7,0,980.37,977.02,978.28,0.0
HFAL,2016-12-01 02:00:00 EST,7.9,7.6,7.8,99.0,97.5,98.5,,,0.8,3.0,8.7,1.1,3.5,6.9,0,977.29,976.22,976.56,0.0
HFAL,2016-12-01 03:00:00 EST,7.6,7.5,7.5,99.1,98.9,99.0,,,0.4,1.9,17.8,0.5,2.4,20.5,0,975.80,974.99,975.34,0.0
HFAL,2016-12-01 04:00:00 EST,7.6,7.2,7.5,99.2,98.9,99.1,,,0.8,9.8,292.1,1.1,9.4,290.6,0,978.27,974.96,976.70,0.0
HFAL,2016-12-01 05:00:00 EST,7.2,6.5,7.0,99.3,98.3,98.8,,,0.7,2.8,148.5,0.9,3.6,146.4,0,976.30,975.26,975.74,0.0
HFAL,2016-12-01 06:00:00 EST,7.8,6.6,7.2,98.6,91.2,95.7,,,1.2,4.6,220.6,1.4,5.0,223.2,0,976.91,976.08,976.52,0.0
HFAL,2016-12-01 07:00:00 EST,7.9,7.1,7.5,96.3,87.3,90.8,,,1.6,5.2,254.3,2.0,5.8,259.5,0,977.77,976.87,977.40,0.0
HFAL,2016-12-01 08:00:00 EST,7.3,6.7,7.1,90.3,81.7,86.2,,,1.5,5.6,258.3,2.0,7.4,264.6,10,978.45,977.89,978.22,0.0
HFAL,2016-12-01 09:00:00 EST,8.2,6.7,7.5,80.8,72.5,76.1,,,2.0,6.2,254.1,2.5,7.7,258.9,48,979.05,978.49,978.74,0.2
HFAL,2016-12-01 10:00:00 EST,8.9,8.2,8.5,74.8,69.4,71.9,,,1.7,6.0,274.8,2.1,7.1,278.3,98,980.07,979.11,979.73,0.4
HFAL,2016-12-01 11:00:00 EST,9.7,8.6,9.0,72.1,61.6,67.9,,,1.6,5.6,282.0,1.9,7.6,285.2,254,980.12,980.01,980.07,0.9
HFAL,2016-12-01 12:00:00 EST,9.6,9.0,9.2,61.5,54.7,57.7,,,2.2,7.0,285.6,2.7,8.3,289.0,466,980.10,979.90,979.97,1.7
HFAL,2016-12-01 13:00:00 EST,8.6,8.0,8.3,63.0,58.4,60.6,,,1.8,7.2,287.3,2.3,7.2,290.1,116,980.10,979.89,979.99,0.4
HFAL,2016-12-01 14:00:00 EST,7.9,7.4,7.7,64.5,60.6,62.9,,,1.6,7.2,285.2,2.0,7.2,288.4,59,980.36,980.15,980.22,0.2
HFAL,2016-12-01 15:00:00 EST,7.4,7.0,7.2,65.6,61.7,63.5,,,1.6,5.6,281.2,2.0,7.0,285.4,31,980.93,980.40,980.64,0.1
HFAL,2016-12-01 16:00:00 EST,7.1,6.0,6.6,69.3,63.4,65.7,,,2.0,7.7,273.8,2.5,9.5,278.6,33,981.65,980.94,981.33,0.1
HFAL,2016-12-01 17:00:00 EST,6.0,5.1,5.6,68.7,65.0,66.8,,,1.7,6.2,276.5,2.2,7.2,282.6,5,982.62,981.72,982.12,0.0
HFAL,2016-12-01 18:00:00 EST,5.2,4.8,5.0,67.9,66.1,66.7,,,1.4,4.4,241.5,1.7,5.0,246.4,0,983.32,982.70,983.02,0.0
HFAL,2016-12-01 19:00:00 EST,4.8,3.8,4.4,70.7,65.8,67.5,,,1.2,4.2,259.3,1.6,5.5,264.0,0,983.91,983.42,983.67,0.0
HFAL,2016-12-01 20:00:00 EST,4.4,3.6,4.0,72.7,65.8,68.9,,,1.5,5.7,265.2,1.9,6.3,270.4,0,984.41,983.94,984.16,0.0
HFAL,2016-12-01 21:00:00 EST,4.6,4.1,4.5,65.7,63.3,64.2,,,1.4,5.7,263.2,1.8,7.4,268.0,0,984.75,984.43,984.64,0.0
HFAL,2016-12-01 22:00:00 EST,4.8,4.5,4.7,64.1,61.4,62.6,,,1.2,5.2,259.5,1.6,6.6,263.6,0,985.08,984.81,984.91,0.0
HFAL,2016-12-01 23:00:00 EST,4.7,4.5,4.6,63.9,61.1,62.4,,,1.1,4.1,254.0,1.4,5.6,258.1,0,985.44,985.11,985.32,0.0
HFAL,2016-12-02 00:00:00 EST,4.7,4.3,4.5,65.4,60.5,62.0,,,1.4,5.0,256.1,1.8,6.0,260.2,0,985.51,985.33,985.41,0.0
HFAL,2016-12-02 01:00:00 EST,4.3,4.0,4.2,66.9,63.7,65.1,,,1.5,5.4,274.3,1.9,6.8,278.5,0,985.42,985.35,985.38,0.0
HFAL,2016-12-02 02:00:00 EST,4.0,3.6,3.9,67.6,65.8,66.7,,,1.6,5.7,259.7,1.9,5.9,265.6,0,985.99,985.43,985.70,0.0
HFAL,2016-12-02 03:00:00 EST,4.0,3.2,3.5,70.5,65.5,68.2,,,1.5,4.6,266.6,1.9,5.8,272.3,0,986.00,985.82,985.91,0.0
HFAL,2016-12-02 04:00:00 EST,3.5,3.4,3.5,69.9,68.5,69.2,,,1.7,5.6,247.1,2.1,6.5,252.2,0,986.22,985.89,986.02,0.0
HFAL,2016-12-02 05:00:00 EST,3.5,3.4,3.5,69.0,68.2,68.5,,,1.7,5.6,240.7,2.1,6.0,246.3,0,986.35,986.11,986.24,0.0
HFAL,2016-12-02 06:00:00 EST,3.5,3.2,3.4,70.7,68.4,69.5,,,1.7,6.9,254.8,2.2,8.2,258.4,0,986.62,986.38,986.48,0.0
HFAL,2016-12-02 07:00:00 EST,3.5,3.0,3.2,71.7,69.0,70.5,,,1.8,6.6,251.8,2.2,7.9,255.5,0,986.99,986.69,986.82,0.0
HFAL,2016-12-02 08:00:00 EST,3.2,2.6,2.9,76.4,70.8,73.4,,,2.1,6.9,260.3,2.6,8.3,264.8,18,987.28,986.98,987.07,0.1
HFAL,2016-12-02 09:00:00 EST,3.9,2.7,3.4,76.7,71.0,73.0,,,1.7,6.1,275.5,2.2,7.9,280.4,35,987.51,987.29,987.43,0.1
HFAL,2016-12-02 10:00:00 EST,5.5,4.2,4.9,70.6,65.0,67.4,,,2.2,8.4,280.1,2.8,9.5,284.7,147,987.70,987.35,987.51,0.5
HFAL,2016-12-02 11:00:00 EST,6.9,5.7,6.4,63.7,60.0,61.9,,,2.6,9.1,280.1,3.1,9.6,283.7,414,987.79,987.43,987.56,1.5
HFAL,2016-12-02 12:00:00 EST,7.2,6.8,7.0,62.0,59.5,60.8,,,2.0,6.1,276.8,2.5,6.9,280.9,290,987.62,987.41,987.49,1.0
HFAL,2016-12-02 13:00:00 EST,7.3,6.8,7.1,61.1,58.2,59.4,,,1.7,6.3,278.3,2.2,8.1,282.9,218,987.43,986.88,987.14,0.8
HFAL,2016-12-02 14:00:00 EST,7.8,6.3,7.2,62.2,57.3,59.0,,,2.0,8.5,285.3,2.5,9.5,288.3,287,986.85,986.53,986.67,1.0
HFAL,2016-12-02 15:00:00 EST,6.7,6.2,6.5,66.0,60.1,63.0,,,1.7,7.9,294.3,2.1,7.7,297.3,163,986.76,986.60,986.68,0.6
HFAL,2016-12-02 16:00:00 EST,6.5,6.1,6.3,65.9,61.5,64.5,,,0.9,3.1,252.2,1.2,4.2,256.7,41,986.81,986.75,986.78,0.1
HFAL,2016-12-02 17:00:00 EST,6.2,4.0,5.1,84.2,63.7,73.9,,,1.5,5.9,293.0,1.8,7.2,295.5,4,987.75,986.77,987.39,0.0
HFAL,2016-12-02 18:00:00 EST,4.5,3.9,4.2,82.2,73.8,77.5,,,1.1,3.1,224.1,1.4,4.0,226.0,0,987.85,987.64,987.75,0.0
HFAL,2016-12-02 19:00:00 EST,4.5,3.8,4.2,72.5,68.6,70.3,,,1.3,4.1,243.7,1.7,5.2,247.3,0,987.82,987.58,987.73,0.0
HFAL,2016-12-02 20:00:00 EST,3.9,3.6,3.8,71.3,69.7,70.3,,,1.4,4.5,240.2,1.7,5.1,245.5,0,987.73,987.52,987.64,0.0
HFAL,2016-12-02 21:00:00 EST,4.0,3.7,3.8,69.4,67.0,68.5,,,1.5,5.3,243.9,1.9,6.7,249.0,0,987.59,987.43,987.51,0.0
HFAL,2016-12-02 22:00:00 EST,3.9,3.5,3.7,72.8,68.5,70.3,,,1.6,5.6,259.3,2.0,6.9,263.9,0,987.54,987.39,987.46,0.0
HFAL,2016-12-02 23:00:00 EST,3.9,3.7,3.8,71.1,68.8,69.8,,,1.5,5.7,275.6,1.9,7.0,279.8,0,987.81,987.53,987.63,0.0
HFAL,2016-12-03 00:00:00 EST,3.8,3.4,3.6,72.4,69.5,70.5,,,1.5,7.1,264.4,1.9,8.6,270.6,0,987.91,987.83,987.86,0.0
HFAL,2016-12-03 01:00:00 EST,3.5,3.2,3.4,74.0,71.2,72.2,,,1.3,4.3,268.1,1.6,6.0,272.4,0,988.19,987.78,987.98,0.0
HFAL,2016-12-03 02:00:00 EST,3.6,3.0,3.4,74.5,63.0,68.8,,,1.3,5.6,271.3,1.7,6.9,276.1,0,988.58,988.17,988.43,0.0
HFAL,2016-12-03 03:00:00 EST,3.4,2.9,3.2,73.7,66.3,68.9,,,1.3,4.4,272.2,1.7,5.6,277.6,0,988.75,988.44,988.66,0.0
HFAL,2016-12-03 04:00:00 EST,2.9,2.6,2.7,75.0,71.5,73.3,,,2.0,7.1,284.3,2.5,8.7,288.4,0,988.70,988.35,988.54,0.0
HFAL,2016-12-03 05:00:00 EST,2.9,2.7,2.7,73.2,69.1,71.3,,,2.3,7.2,291.0,2.8,9.1,293.4,0,988.88,988.55,988.74,0.0
HFAL,2016-12-03 06:00:00 EST,3.4,2.8,3.0,68.3,61.3,65.3,,,2.2,7.3,290.8,2.8,8.5,293.4,0,989.67,988.91,989.33,0.0
HFAL,2016-12-03 07:00:00 EST,2.9,1.9,2.5,73.1,63.0,66.3,,,1.9,7.7,286.5,2.4,8.1,289.3,0,990.53,989.70,990.08,0.0
HFAL,2016-12-03 08:00:00 EST,3.0,1.6,2.3,75.5,59.6,68.6,,,1.4,6.5,277.1,1.8,6.3,281.1,11,991.47,990.59,990.99,0.0
HFAL,2016-12-03 09:00:00 EST,3.9,3.1,3.5,60.2,57.2,58.8,,,1.2,5.8,296.1,1.6,7.3,298.9,52,991.99,991.55,991.80,0.2
HFAL,2016-12-03 10:00:00 EST,4.6,3.8,4.3,63.7,57.4,61.0,,,1.7,7.6,286.7,2.2,8.2,290.7,142,992.73,992.03,992.40,0.5
HFAL,2016-12-03 11:00:00 EST,6.4,4.7,5.6,54.7,49.6,52.1,,,1.8,6.5,321.5,2.2,7.4,323.8,415,992.83,992.63,992.74,1.5
HFAL,2016-12-03 12:00:00 EST,6.6,5.9,6.4,51.2,47.6,49.4,,,1.9,6.1,324.2,2.3,6.4,325.9,490,992.64,992.49,992.57,1.8
HFAL,2016-12-03 13:00:00 EST,6.3,5.4,5.7,52.9,48.9,50.8,,,1.6,6.0,312.5,2.0,6.3,314.5,224,992.80,992.67,992.73,0.8
