station,time_end,temp_2m_max [degC],temp_2m_min [degC],temp_2m_avg [degC],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],precip_incremental [mm],precip_local [mm],wind_speed_prop_avg [m/s],wind_speed_prop_max [m/s],wind_direction_prop_avg [degrees],wind_speed_sonic_avg [m/s],wind_speed_sonic_max [m/s],wind_direction_sonic_avg [degrees],solar_insolation_avg [W/m^2],station_pressure_max [mbar],station_pressure_min [mbar],station_pressure_avg [mbar],solar_insolation_total [MJ/m^2]
HFAL,2018-01-01 01:00:00 EST,-17.4,-17.9,-17.7,66.5,64.2,65.3,0.00,0.00,0.9,3.7,267.8,1.2,4.4,273.7,0,1001.76,1001.36,1001.51,0.0
HFAL,2018-01-01 02:00:00 EST,-17.5,-18.3,-18.1,69.2,64.5,67.3,0.00,0.00,0.7,3.5,293.3,1.1,4.5,296.5,0,1002.02,1001.76,1001.85,0.0
HFAL,2018-01-01 03:00:00 EST,-17.6,-18.9,-17.9,69.2,64.3,65.9,0.00,0.00,1.1,4.0,300.0,1.5,4.8,302.7,0,1002.09,1001.89,1002.02,0.0
HFAL,2018-01-01 04:00:00 EST,-18.0,-18.9,-18.4,70.3,64.4,67.7,0.00,0.00,1.1,3.5,262.5,1.4,4.8,268.6,0,1001.92,1001.70,1001.80,0.0
HFAL,2018-01-01 05:00:00 EST,-17.3,-19.0,-18.2,67.6,60.1,64.2,0.00,0.00,1.2,3.9,231.5,1.5,4.1,235.9,0,1001.95,1001.74,1001.84,0.0
HFAL,2018-01-01 06:00:00 EST,-18.2,-18.8,-18.5,66.8,64.6,65.7,0.00,0.00,1.3,3.4,223.4,1.5,4.6,226.8,0,1002.19,1001.90,1002.07,0.0
HFAL,2018-01-01 07:00:00 EST,-18.1,-18.8,-18.5,67.1,65.0,66.3,0.00,0.00,1.3,3.9,217.9,1.5,4.0,220.9,0,1002.68,1002.18,1002.44,0.0
HFAL,2018-01-01 08:00:00 EST,-17.6,-18.6,-18.0,66.1,61.9,63.6,0.00,0.00,1.1,3.1,216.9,1.3,3.4,219.6,6,1002.79,1002.51,1002.65,0.0
HFAL,2018-01-01 09:00:00 EST,-17.9,-18.9,-18.4,67.9,63.3,65.9,0.00,0.00,0.8,2.6,226.3,1.0,3.1,228.1,19,1003.19,1002.83,1003.02,0.1
HFAL,2018-01-01 10:00:00 EST,-15.5,-17.8,-16.6,62.6,52.9,58.3,0.00,0.00,1.0,2.9,238.7,1.3,3.6,241.4,49,1003.37,1003.22,1003.29,0.2
HFAL,2018-01-01 11:00:00 EST,-13.3,-15.4,-14.3,52.2,44.7,48.2,0.00,0.00,1.0,2.8,276.6,1.3,3.7,281.5,362,1003.35,1003.09,1003.26,1.3
HFAL,2018-01-01 12:00:00 EST,-11.7,-13.3,-12.3,44.6,40.3,42.5,0.20,0.20,1.6,4.9,317.6,2.1,6.5,320.2,418,1002.99,1002.23,1002.57,1.5
HFAL,2018-01-01 13:00:00 EST,-10.7,-11.5,-11.1,43.2,38.3,40.0,0.00,0.20,2.1,7.5,325.5,2.6,8.5,327.6,415,1002.20,1001.62,1001.86,1.5
HFAL,2018-01-01 14:00:00 EST,-10.3,-10.7,-10.5,39.4,37.1,38.2,0.00,0.20,2.1,6.4,325.8,2.6,8.0,327.3,358,1001.58,1001.39,1001.48,1.3
HFAL,2018-01-01 15:00:00 EST,-10.3,-10.6,-10.4,40.9,36.7,39.0,0.00,0.20,1.6,6.1,331.0,2.1,8.1,332.8,252,1001.44,1001.34,1001.39,0.9
HFAL,2018-01-01 16:00:00 EST,-10.3,-11.4,-10.8,43.5,36.8,40.6,0.00,0.20,0.9,4.4,330.2,1.2,5.0,330.8,105,1001.53,1001.44,1001.47,0.4
