station,time_end,temp_2m_max [degC],temp_2m_min [degC],temp_2m_avg [degC],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],precip_incremental [mm],precip_local [mm],wind_speed_prop_avg [m/s],wind_speed_prop_max [m/s],wind_direction_prop_avg [degrees],wind_speed_sonic_avg [m/s],wind_speed_sonic_max [m/s],wind_direction_sonic_avg [degrees],solar_insolation_avg [W/m^2],station_pressure_max [mbar],station_pressure_min [mbar],station_pressure_avg [mbar],solar_insolation_total [MJ/m^2]
HFAL,2018-06-01 01:00:00 EDT,19.0,18.9,19.0,98.2,98.0,98.1,0.00,0.00,0.2,1.5,66.2,0.4,2.4,77.6,0,989.71,989.33,989.52,0.0
HFAL,2018-06-01 02:00:00 EDT,18.9,18.7,18.8,98.4,98.2,98.3,0.00,0.00,0.5,3.0,201.3,0.7,4.1,204.3,0,989.24,988.59,988.85,0.0
HFAL,2018-06-01 03:00:00 EDT,18.8,18.7,18.7,98.5,98.4,98.5,0.00,0.00,0.6,3.2,179.6,0.7,3.6,176.2,0,988.67,988.41,988.56,0.0
HFAL,2018-06-01 04:00:00 EDT,18.9,18.7,18.7,98.6,98.6,98.6,0.00,0.00,0.2,1.6,190.2,0.4,2.0,182.1,0,988.41,988.01,988.17,0.0
HFAL,2018-06-01 05:00:00 EDT,18.8,18.7,18.8,98.6,98.6,98.6,0.00,0.00,0.3,1.2,158.3,0.5,1.7,151.3,0,988.02,987.75,987.85,0.0
HFAL,2018-06-01 06:00:00 EDT,18.8,18.6,18.7,98.7,98.6,98.6,0.00,0.00,0.5,2.1,166.9,0.7,3.6,166.4,2,987.77,987.62,987.70,0.0
HFAL,2018-06-01 07:00:00 EDT,19.1,18.8,18.9,98.6,98.5,98.6,0.00,0.00,0.3,1.8,175.3,0.5,2.5,178.3,16,987.87,987.72,987.80,0.1
HFAL,2018-06-01 08:00:00 EDT,19.3,19.1,19.2,98.5,98.3,98.4,0.00,0.00,0.3,1.6,160.2,0.6,2.1,134.6,64,987.80,987.32,987.51,0.2
HFAL,2018-06-01 09:00:00 EDT,19.8,19.3,19.6,98.4,97.9,98.3,0.00,0.00,0.4,1.9,221.8,0.6,2.2,222.3,95,987.77,987.36,987.55,0.3
HFAL,2018-06-01 10:00:00 EDT,20.3,19.8,20.1,97.7,94.1,96.0,0.00,0.00,0.4,1.4,214.5,0.5,1.7,215.6,128,987.89,987.77,987.83,0.5
HFAL,2018-06-01 11:00:00 EDT,21.7,20.4,20.7,94.7,89.5,92.4,0.05,0.05,0.6,2.2,199.4,0.8,2.7,200.5,278,988.07,987.65,987.89,1.0
HFAL,2018-06-01 12:00:00 EDT,23.6,21.8,22.4,90.6,84.1,88.7,0.00,0.05,1.1,3.8,181.3,1.4,4.7,179.9,584,987.63,986.94,987.24,2.1
HFAL,2018-06-01 13:00:00 EDT,24.8,23.5,24.1,83.2,78.2,81.5,0.00,0.05,1.5,3.6,191.1,1.8,4.3,192.1,585,987.02,986.69,986.90,2.1
HFAL,2018-06-01 14:00:00 EDT,25.8,24.4,25.3,80.8,75.8,77.8,0.00,0.05,1.7,5.2,174.7,2.1,6.4,175.1,751,986.70,986.06,986.46,2.7
HFAL,2018-06-01 15:00:00 EDT,26.8,25.7,26.1,76.1,71.9,74.6,0.00,0.05,2.3,5.6,194.1,2.7,6.5,195.1,825,986.02,985.30,985.64,3.0
HFAL,2018-06-01 16:00:00 EDT,27.4,26.5,26.9,72.2,69.7,70.9,0.00,0.05,2.0,4.9,182.4,2.4,5.6,182.6,645,985.30,984.75,984.98,2.3
HFAL,2018-06-01 17:00:00 EDT,27.5,26.4,27.0,72.6,68.4,70.1,0.00,0.05,1.4,4.1,190.9,1.7,4.6,191.6,417,984.71,984.55,984.66,1.5
HFAL,2018-06-01 18:00:00 EDT,27.4,26.1,26.8,75.4,70.5,72.3,0.00,0.05,1.4,3.8,187.9,1.6,4.4,188.5,290,984.50,984.20,984.32,1.0
HFAL,2018-06-01 19:00:00 EDT,27.1,26.7,26.9,71.8,70.2,70.9,0.00,0.05,1.2,3.3,178.8,1.5,3.7,179.8,253,984.34,984.17,984.25,0.9
HFAL,2018-06-01 20:00:00 EDT,26.6,24.2,25.2,82.3,72.4,78.2,0.00,0.05,0.9,2.6,168.6,1.1,3.2,169.0,34,984.27,984.07,984.15,0.1
HFAL,2018-06-01 21:00:00 EDT,24.9,23.1,23.9,86.1,79.4,82.7,0.00,0.05,0.6,2.7,180.5,0.8,2.9,183.3,1,984.47,984.12,984.23,0.0
HFAL,2018-06-01 22:00:00 EDT,24.0,22.7,23.5,87.2,83.4,85.5,0.00,0.05,1.1,4.3,218.9,1.3,5.4,221.3,0,985.08,984.62,984.88,0.0
HFAL,2018-06-01 23:00:00 EDT,22.5,20.4,21.2,95.5,83.7,90.6,2.02,2.07,0.7,2.0,226.3,0.8,2.7,229.6,0,985.22,984.69,984.95,0.0
HFAL,2018-06-02 00:00:00 EDT,20.5,20.1,20.3,96.8,95.5,96.1,0.00,2.07,0.8,2.4,207.5,0.9,3.3,209.7,0,985.15,984.73,984.96,0.0
HFAL,2018-06-02 01:00:00 EDT,20.0,19.9,19.9,97.4,96.1,97.0,0.00,0.00,0.8,2.1,176.1,0.9,2.5,177.2,0,985.22,985.01,985.11,0.0
HFAL,2018-06-02 02:00:00 EDT,20.1,19.8,19.9,97.7,97.0,97.5,0.00,0.00,0.6,2.8,208.5,0.8,3.1,208.9,0,985.08,984.80,985.00,0.0
HFAL,2018-06-02 03:00:00 EDT,20.1,19.7,20.0,96.5,95.4,95.8,0.00,0.00,0.9,2.7,208.3,1.0,3.3,210.7,0,984.80,984.60,984.71,0.0
HFAL,2018-06-02 04:00:00 EDT,19.9,19.2,19.6,96.8,96.1,96.4,0.00,0.00,0.4,1.8,200.2,0.5,2.0,201.2,0,984.74,984.54,984.63,0.0
HFAL,2018-06-02 05:00:00 EDT,19.5,18.9,19.3,97.1,96.6,96.9,0.00,0.00,0.4,1.5,212.3,0.6,1.7,213.4,0,984.90,984.61,984.72,0.0
HFAL,2018-06-02 06:00:00 EDT,19.0,18.4,18.7,97.8,96.8,97.4,0.00,0.00,0.9,1.9,193.5,1.1,2.5,195.4,6,984.87,984.71,984.79,0.0
HFAL,2018-06-02 07:00:00 EDT,19.6,19.0,19.3,97.7,95.1,96.2,0.00,0.00,0.8,2.2,200.0,1.0,2.6,202.2,35,985.23,984.93,985.08,0.1
HFAL,2018-06-02 08:00:00 EDT,20.5,19.4,20.0,95.2,91.1,93.8,0.00,0.00,0.4,1.5,341.5,0.5,1.9,347.1,156,985.56,985.19,985.34,0.6
HFAL,2018-06-02 09:00:00 EDT,22.6,20.4,21.4,93.7,86.5,89.7,0.00,0.00,1.2,4.2,18.4,1.5,4.9,19.4,413,985.80,985.57,985.68,1.5
HFAL,2018-06-02 10:00:00 EDT,23.2,22.7,22.9,85.6,82.8,84.7,0.00,0.00,2.4,5.9,18.3,2.8,6.8,18.5,366,986.14,985.83,985.96,1.3
HFAL,2018-06-02 11:00:00 EDT,23.5,22.8,23.1,83.3,80.7,82.0,0.00,0.00,2.7,6.8,17.4,3.1,8.0,18.6,414,986.96,986.19,986.60,1.5
HFAL,2018-06-02 12:00:00 EDT,24.3,22.9,23.4,82.3,75.2,79.3,0.00,0.00,2.5,6.6,19.3,2.9,8.5,20.0,527,987.03,986.75,986.91,1.9
HFAL,2018-06-02 13:00:00 EDT,24.7,23.8,24.3,76.8,71.6,73.4,0.00,0.00,2.6,6.8,17.2,3.1,8.0,18.1,706,986.83,986.69,986.75,2.5
HFAL,2018-06-02 14:00:00 EDT,24.4,23.9,24.1,73.2,72.0,72.5,0.00,0.00,2.3,6.2,21.0,2.7,6.7,22.1,593,986.70,986.46,986.57,2.1
HFAL,2018-06-02 15:00:00 EDT,25.0,24.4,24.7,71.4,67.2,69.0,0.00,0.00,2.8,7.1,14.7,3.2,8.1,16.3,681,986.41,986.01,986.19,2.5
HFAL,2018-06-02 16:00:00 EDT,25.5,24.7,25.1,68.2,65.0,66.4,0.00,0.00,2.9,8.7,21.9,3.4,9.4,22.1,567,986.70,986.05,986.46,2.0
HFAL,2018-06-02 17:00:00 EDT,24.8,24.0,24.3,65.4,62.4,63.6,0.00,0.00,3.7,9.1,16.5,4.2,11.3,18.1,349,987.48,986.76,987.17,1.3
HFAL,2018-06-02 18:00:00 EDT,23.9,23.2,23.5,65.9,61.9,63.6,0.00,0.00,2.7,7.2,23.1,3.2,8.4,23.8,222,987.62,987.51,987.57,0.8
HFAL,2018-06-02 19:00:00 EDT,23.7,22.7,23.2,67.2,62.6,65.1,0.00,0.00,2.5,7.3,22.1,2.9,8.6,22.5,181,987.78,987.52,987.66,0.7
HFAL,2018-06-02 20:00:00 EDT,22.6,21.9,22.3,68.8,66.9,67.8,0.00,0.00,1.8,5.9,28.1,2.1,6.5,28.9,62,988.08,987.74,987.90,0.2
HFAL,2018-06-02 21:00:00 EDT,21.9,21.0,21.4,68.8,65.9,67.5,0.00,0.00,1.5,6.5,41.6,1.9,7.0,42.6,7,988.58,988.15,988.41,0.0
HFAL,2018-06-02 22:00:00 EDT,21.0,20.1,20.6,66.6,65.3,65.7,0.00,0.00,2.3,5.9,27.6,2.7,6.5,28.1,0,989.37,988.67,989.11,0.0
HFAL,2018-06-02 23:00:00 EDT,20.3,19.8,20.1,65.7,63.7,64.2,0.00,0.00,2.6,7.6,26.2,3.1,8.9,27.2,0,990.09,989.42,989.77,0.0
HFAL,2018-06-03 00:00:00 EDT,19.8,19.1,19.4,65.7,64.6,65.1,0.00,0.00,2.0,8.1,20.6,2.5,8.6,22.0,0,990.42,990.08,990.23,0.0
HFAL,2018-06-03 01:00:00 EDT,18.9,18.3,18.7,67.1,65.3,65.9,0.00,0.00,1.6,6.7,28.5,2.0,7.8,28.9,0,990.56,990.29,990.40,0.0
HFAL,2018-06-03 02:00:00 EDT,18.5,18.3,18.4,66.4,65.3,65.8,0.00,0.00,1.3,4.2,35.3,1.7,5.5,34.4,0,991.02,990.63,990.87,0.0
HFAL,2018-06-03 03:00:00 EDT,18.2,16.2,17.5,83.0,66.5,71.3,0.05,0.05,0.8,4.3,65.0,1.1,4.9,65.9,0,991.80,991.05,991.41,0.0
HFAL,2018-06-03 04:00:00 EDT,16.2,15.3,15.6,92.8,84.0,89.3,0.00,0.05,0.5,2.5,42.0,0.8,3.0,45.4,0,992.16,991.87,992.06,0.0
HFAL,2018-06-03 05:00:00 EDT,15.4,15.2,15.3,93.7,92.7,93.1,0.00,0.05,0.3,1.4,81.9,0.4,1.9,102.3,0,992.51,992.07,992.20,0.0
HFAL,2018-06-03 06:00:00 EDT,15.6,15.2,15.4,93.7,89.0,92.8,0.00,0.05,0.4,1.7,133.6,0.6,2.3,136.9,4,993.46,992.62,993.02,0.0
HFAL,2018-06-03 07:00:00 EDT,15.6,15.3,15.5,88.0,81.8,84.3,0.00,0.05,0.8,3.8,178.1,1.0,4.7,180.2,21,994.16,993.50,993.83,0.1
HFAL,2018-06-03 08:00:00 EDT,15.5,15.3,15.4,80.1,70.9,73.7,0.00,0.05,1.1,4.4,71.4,1.5,5.6,72.3,85,994.39,994.12,994.30,0.3
HFAL,2018-06-03 09:00:00 EDT,15.4,15.0,15.2,71.5,67.0,69.0,0.00,0.05,0.8,3.9,50.0,1.2,4.7,47.5,132,994.51,994.36,994.43,0.5
HFAL,2018-06-03 10:00:00 EDT,15.4,15.0,15.3,70.0,67.0,68.3,0.00,0.05,1.0,3.3,24.8,1.4,4.3,26.1,226,994.46,994.28,994.39,0.8
HFAL,2018-06-03 11:00:00 EDT,16.0,15.4,15.7,70.6,66.4,67.8,0.00,0.05,0.8,3.0,70.8,1.1,4.6,69.0,277,994.27,994.10,994.18,1.0
HFAL,2018-06-03 12:00:00 EDT,15.5,14.5,14.9,80.7,70.0,76.5,0.00,0.05,1.2,4.2,164.5,1.5,5.1,164.4,193,994.30,994.18,994.23,0.7
HFAL,2018-06-03 13:00:00 EDT,15.7,14.6,15.1,80.9,70.9,75.7,0.00,0.05,0.5,2.6,191.7,0.7,3.0,186.9,223,994.09,993.79,993.96,0.8
HFAL,2018-06-03 14:00:00 EDT,16.9,15.7,16.2,73.0,68.0,71.0,0.00,0.05,1.2,4.1,186.2,1.4,4.6,186.8,344,993.77,993.03,993.34,1.2
HFAL,2018-06-03 15:00:00 EDT,17.8,17.0,17.4,70.0,65.9,68.4,0.00,0.05,1.4,3.4,193.6,1.6,3.7,195.1,385,992.94,991.99,992.49,1.4
HFAL,2018-06-03 16:00:00 EDT,17.8,17.2,17.6,70.8,68.0,69.5,0.00,0.05,0.8,2.9,223.5,1.0,3.0,230.5,282,991.86,991.06,991.42,1.0
HFAL,2018-06-03 17:00:00 EDT,18.3,17.2,17.7,73.1,67.9,69.9,0.00,0.05,1.2,4.0,203.8,1.4,4.8,206.8,304,991.04,990.85,990.91,1.1
HFAL,2018-06-03 18:00:00 EDT,17.2,17.1,17.1,77.0,72.6,74.6,0.00,0.05,1.0,4.4,213.6,1.3,4.8,216.5,135,990.86,990.55,990.65,0.5
HFAL,2018-06-03 19:00:00 EDT,17.2,16.9,17.1,79.4,75.0,76.7,0.00,0.05,0.3,1.7,260.0,0.4,2.3,249.9,70,990.67,990.53,990.59,0.3
HFAL,2018-06-03 20:00:00 EDT,16.8,16.3,16.6,81.3,72.0,75.2,0.00,0.05,0.7,3.0,170.5,0.9,4.8,167.0,18,990.78,990.68,990.73,0.1
HFAL,2018-06-03 21:00:00 EDT,16.3,15.0,15.8,72.8,69.9,71.8,0.00,0.05,1.3,4.2,175.1,1.6,4.6,175.7,2,991.02,990.71,990.87,0.0
HFAL,2018-06-03 22:00:00 EDT,14.9,14.0,14.4,71.2,69.6,70.5,0.00,0.05,1.1,4.1,185.5,1.3,4.9,186.9,0,991.11,990.91,991.03,0.0
HFAL,2018-06-03 23:00:00 EDT,13.9,12.4,13.3,76.7,71.5,73.3,0.00,0.05,0.9,3.4,164.1,1.2,3.9,161.2,0,991.06,990.88,991.00,0.0
HFAL,2018-06-04 00:00:00 EDT,12.1,11.0,11.5,88.0,78.6,84.3,0.31,0.36,0.7,3.2,162.7,0.9,4.4,153.4,0,991.08,990.66,990.91,0.0
HFAL,2018-06-04 01:00:00 EDT,10.9,10.3,10.6,92.5,87.9,90.2,0.76,0.76,0.5,2.2,63.9,0.7,2.6,61.1,0,990.71,989.97,990.38,0.0
HFAL,2018-06-04 02:00:00 EDT,10.3,10.0,10.1,95.3,93.0,94.3,2.74,3.50,0.4,1.8,44.3,0.6,2.2,43.4,0,989.90,989.28,989.59,0.0
HFAL,2018-06-04 03:00:00 EDT,9.9,9.5,9.7,95.6,93.9,94.8,4.26,7.76,0.5,2.6,175.3,0.7,3.3,172.7,0,989.27,988.59,988.95,0.0
HFAL,2018-06-04 04:00:00 EDT,9.5,9.4,9.5,95.9,94.9,95.5,0.60,8.36,0.4,2.6,154.0,0.6,2.6,153.2,0,988.61,988.28,988.38,0.0
HFAL,2018-06-04 05:00:00 EDT,9.4,9.3,9.3,96.3,95.9,96.2,1.20,9.56,0.2,1.5,180.5,0.4,1.7,173.7,0,988.43,988.12,988.31,0.0
HFAL,2018-06-04 06:00:00 EDT,9.5,9.2,9.3,97.3,96.5,97.0,0.96,10.52,0.0,0.6,140.9,0.3,1.0,146.6,3,988.46,988.33,988.37,0.0
HFAL,2018-06-04 07:00:00 EDT,9.5,9.4,9.5,97.3,96.5,97.1,0.14,10.66,0.3,2.1,153.7,0.6,2.6,149.7,17,988.46,988.13,988.30,0.1
HFAL,2018-06-04 08:00:00 EDT,9.8,9.4,9.6,96.5,95.7,96.1,0.00,10.66,0.2,1.8,158.4,0.4,2.6,163.6,53,988.25,988.00,988.16,0.2
HFAL,2018-06-04 09:00:00 EDT,11.0,9.8,10.5,95.6,87.9,92.1,0.00,10.66,0.4,2.3,88.3,0.7,2.6,94.9,207,987.96,987.45,987.66,0.7
HFAL,2018-06-04 10:00:00 EDT,11.8,10.6,11.1,93.1,86.0,90.8,0.00,10.66,0.6,1.8,61.4,0.9,2.5,62.6,242,987.48,986.91,987.18,0.9
HFAL,2018-06-04 11:00:00 EDT,12.4,11.7,12.0,90.2,86.8,88.6,0.00,10.66,0.7,2.0,358.4,0.9,2.8,359.6,301,986.77,986.21,986.42,1.1
HFAL,2018-06-04 12:00:00 EDT,13.0,12.3,12.7,90.2,85.1,86.9,0.00,10.66,0.7,2.1,158.7,0.9,3.0,155.9,291,986.18,985.28,985.67,1.0
HFAL,2018-06-04 13:00:00 EDT,14.3,12.7,13.5,87.3,79.5,84.0,0.00,10.66,0.9,2.9,178.0,1.1,3.5,176.2,393,985.27,984.68,984.97,1.4
HFAL,2018-06-04 14:00:00 EDT,15.7,14.4,14.9,82.4,79.2,80.8,0.00,10.66,0.9,4.0,126.2,1.3,5.1,126.3,537,984.65,983.69,984.25,1.9
HFAL,2018-06-04 15:00:00 EDT,17.7,15.9,16.8,81.1,73.7,76.2,0.00,10.66,1.1,3.8,149.4,1.5,4.6,146.9,671,983.66,983.26,983.42,2.4
HFAL,2018-06-04 16:00:00 EDT,18.5,17.0,17.7,76.4,72.4,74.0,0.00,10.66,1.3,4.3,167.3,1.7,5.1,166.5,473,983.21,983.03,983.14,1.7
HFAL,2018-06-04 17:00:00 EDT,19.2,18.2,18.6,74.4,70.2,72.3,0.00,10.66,1.4,4.8,175.4,1.7,5.3,175.0,481,983.00,982.48,982.74,1.7
HFAL,2018-06-04 18:00:00 EDT,18.9,18.0,18.4,77.6,72.2,74.9,0.00,10.66,0.8,2.9,165.0,1.1,3.3,167.0,193,982.52,982.20,982.33,0.7
HFAL,2018-06-04 19:00:00 EDT,18.2,17.0,17.6,88.2,77.1,82.7,0.00,10.66,0.3,1.4,153.5,0.5,1.6,151.9,92,982.78,982.30,982.59,0.3
HFAL,2018-06-04 20:00:00 EDT,18.3,16.3,17.7,87.8,73.0,78.9,0.00,10.66,0.5,1.6,85.9,0.6,1.9,125.3,74,983.04,982.78,982.93,0.3
HFAL,2018-06-04 21:00:00 EDT,16.2,14.6,15.3,94.7,89.1,92.5,0.00,10.66,0.5,1.4,145.5,0.7,1.9,146.0,4,983.26,983.05,983.19,0.0
HFAL,2018-06-04 22:00:00 EDT,15.2,14.5,14.9,94.7,90.7,92.1,0.00,10.66,0.3,1.2,129.5,0.5,1.8,127.6,0,984.09,983.32,983.71,0.0
HFAL,2018-06-04 23:00:00 EDT,14.5,13.7,14.1,96.5,92.5,94.9,0.00,10.66,0.7,1.6,181.9,0.9,1.8,184.4,0,984.29,984.04,984.16,0.0
HFAL,2018-06-05 00:00:00 EDT,13.8,13.2,13.6,97.5,96.4,97.0,0.00,10.66,0.7,2.4,212.3,0.9,3.0,217.5,0,984.76,984.11,984.29,0.0
HFAL,2018-06-05 01:00:00 EDT,13.3,12.0,12.9,97.5,81.7,89.1,0.00,0.00,0.5,2.8,196.2,0.7,3.7,195.5,0,984.64,984.14,984.33,0.0
HFAL,2018-06-05 02:00:00 EDT,13.4,12.3,12.9,84.9,66.1,75.3,0.00,0.00,1.0,2.6,211.8,1.1,3.1,213.7,0,984.14,983.81,983.91,0.0
HFAL,2018-06-05 03:00:00 EDT,12.7,12.3,12.6,68.5,66.4,67.1,0.00,0.00,0.9,3.1,209.6,1.1,3.6,211.3,0,983.77,983.02,983.38,0.0
HFAL,2018-06-05 04:00:00 EDT,12.5,10.6,11.4,80.1,66.6,73.2,0.00,0.00,0.6,2.2,215.1,0.8,2.7,216.4,0,983.14,982.99,983.05,0.0
HFAL,2018-06-05 05:00:00 EDT,11.0,10.3,10.6,78.8,75.0,77.8,0.00,0.00,0.7,3.3,208.8,0.9,4.2,210.7,0,982.98,982.59,982.84,0.0
HFAL,2018-06-05 06:00:00 EDT,11.0,9.2,10.2,85.3,79.9,82.6,0.00,0.00,0.8,3.6,199.6,1.0,4.4,200.4,7,982.84,982.59,982.71,0.0
HFAL,2018-06-05 07:00:00 EDT,11.9,11.3,11.6,81.6,80.0,80.9,0.00,0.00,0.9,3.1,211.0,1.2,3.4,212.7,27,982.89,982.45,982.73,0.1
HFAL,2018-06-05 08:00:00 EDT,13.5,12.1,12.8,80.8,76.0,79.0,0.00,0.00,0.9,3.8,252.0,1.2,5.2,258.0,174,982.83,982.60,982.73,0.6
HFAL,2018-06-05 09:00:00 EDT,14.1,12.9,13.4,79.0,74.0,76.8,0.00,0.00,1.0,5.1,235.5,1.4,5.6,241.7,151,982.79,982.57,982.69,0.5
HFAL,2018-06-05 10:00:00 EDT,14.6,13.7,14.0,77.4,73.0,75.6,0.00,0.00,1.2,4.2,222.5,1.5,5.4,225.5,134,982.49,982.17,982.30,0.5
HFAL,2018-06-05 11:00:00 EDT,16.7,14.8,15.5,75.6,68.1,72.5,0.00,0.00,1.4,5.2,240.6,1.8,6.5,244.7,518,982.25,981.96,982.12,1.9
HFAL,2018-06-05 12:00:00 EDT,17.9,16.6,17.0,70.2,64.8,67.7,0.00,0.00,1.2,5.2,238.2,1.6,5.9,241.6,487,982.07,981.51,981.81,1.8
HFAL,2018-06-05 13:00:00 EDT,18.5,17.5,17.9,66.8,63.3,65.1,0.00,0.00,1.2,5.3,256.2,1.7,5.8,261.2,386,981.43,981.00,981.24,1.4
HFAL,2018-06-05 14:00:00 EDT,17.9,16.8,17.3,71.3,60.5,66.0,0.00,0.00,1.6,6.6,243.2,2.1,9.0,249.3,395,981.04,980.71,980.92,1.4
HFAL,2018-06-05 15:00:00 EDT,19.3,17.1,18.2,70.9,59.9,66.0,0.00,0.00,1.4,5.8,234.2,1.8,5.8,240.7,542,980.66,980.47,980.56,2.0
HFAL,2018-06-05 16:00:00 EDT,18.6,17.0,17.6,65.4,55.2,61.3,0.00,0.00,1.2,4.7,279.7,1.7,6.3,285.1,389,981.02,980.65,980.88,1.4
HFAL,2018-06-05 17:00:00 EDT,18.4,17.3,18.1,58.5,55.3,56.3,0.00,0.00,1.3,6.6,313.9,1.9,7.1,318.6,525,981.14,980.58,980.79,1.9
HFAL,2018-06-05 18:00:00 EDT,17.2,16.2,16.5,62.6,57.7,60.0,0.00,0.00,0.9,4.1,284.7,1.3,6.0,290.6,186,981.71,981.18,981.47,0.7
HFAL,2018-06-05 19:00:00 EDT,17.4,15.6,16.6,65.8,54.1,58.9,0.00,0.00,0.7,3.8,319.1,1.0,4.6,325.9,233,982.34,981.77,982.08,0.8
HFAL,2018-06-05 20:00:00 EDT,15.8,15.2,15.5,65.1,60.9,62.6,0.00,0.00,0.6,2.3,6.6,0.8,2.7,8.4,28,982.98,982.40,982.66,0.1
HFAL,2018-06-05 21:00:00 EDT,15.3,14.5,14.9,64.1,61.9,63.0,0.00,0.00,0.6,2.4,359.9,0.8,3.3,2.6,1,983.26,983.00,983.16,0.0
HFAL,2018-06-05 22:00:00 EDT,14.4,13.4,13.9,68.9,63.4,65.9,0.00,0.00,0.6,2.8,12.1,0.8,3.8,11.2,0,983.81,983.31,983.56,0.0
HFAL,2018-06-05 23:00:00 EDT,13.5,12.5,13.0,75.9,68.8,72.3,0.00,0.00,0.2,1.2,106.4,0.3,1.5,120.7,0,983.96,983.87,983.91,0.0
HFAL,2018-06-06 00:00:00 EDT,13.1,12.4,12.8,76.6,70.8,73.7,0.00,0.00,0.4,1.4,155.3,0.6,2.0,152.0,0,984.36,983.96,984.13,0.0
HFAL,2018-06-06 01:00:00 EDT,13.1,11.0,12.3,81.6,74.3,77.5,0.00,0.00,0.6,1.5,192.7,0.8,2.0,192.0,0,984.41,984.10,984.25,0.0
HFAL,2018-06-06 02:00:00 EDT,11.1,10.5,10.9,85.2,82.3,83.6,0.00,0.00,0.6,1.5,163.0,0.7,1.8,164.6,0,984.35,984.21,984.27,0.0
