station,time_end,temp_2m_max [degC],temp_2m_min [degC],temp_2m_avg [degC],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],precip_incremental [mm],precip_local [mm],wind_speed_prop_avg [m/s],wind_speed_prop_max [m/s],wind_direction_prop_avg [degrees],wind_speed_sonic_avg [m/s],wind_speed_sonic_max [m/s],wind_direction_sonic_avg [degrees],solar_insolation_avg [W/m^2],station_pressure_max [mbar],station_pressure_min [mbar],station_pressure_avg [mbar],solar_insolation_total [MJ/m^2]
HFAL,2017-05-01 01:00:00 EDT,10.2,9.4,9.8,67.2,64.6,66.2,0.00,0.00,0.7,3.1,111.8,0.9,4.0,102.2,0,997.71,997.13,997.37,0.0
HFAL,2017-05-01 02:00:00 EDT,9.4,9.1,9.2,71.1,66.5,68.7,0.00,0.00,0.3,1.7,30.2,0.5,2.1,32.3,0,997.19,996.28,996.83,0.0
HFAL,2017-05-01 03:00:00 EDT,9.1,8.9,9.0,74.0,72.1,73.1,0.00,0.00,0.5,1.9,185.5,0.7,2.3,179.9,0,996.26,995.39,995.81,0.0
HFAL,2017-05-01 04:00:00 EDT,8.9,8.4,8.7,82.3,73.9,77.7,0.00,0.00,0.6,3.4,181.4,0.9,4.0,184.1,0,995.31,994.65,994.87,0.0
HFAL,2017-05-01 05:00:00 EDT,8.3,7.6,7.9,92.8,83.4,88.6,0.00,0.00,0.6,2.5,188.5,0.7,2.9,188.0,0,994.60,993.73,994.16,0.0
HFAL,2017-05-01 06:00:00 EDT,7.7,7.6,7.6,95.1,93.2,93.8,0.00,0.00,0.3,1.4,218.3,0.5,1.6,218.1,0,993.70,993.43,993.58,0.0
HFAL,2017-05-01 07:00:00 EDT,7.7,7.5,7.5,97.1,95.2,96.3,0.00,0.00,0.3,1.5,248.3,0.5,1.9,247.2,11,993.46,992.94,993.17,0.0
HFAL,2017-05-01 08:00:00 EDT,8.1,7.6,7.7,97.3,96.8,97.1,0.00,0.00,0.5,2.0,234.2,0.6,2.3,241.3,49,992.98,992.72,992.89,0.2
HFAL,2017-05-01 09:00:00 EDT,9.1,8.2,8.7,95.4,91.4,92.6,0.00,0.00,1.1,2.7,194.6,1.3,3.2,195.8,112,992.76,992.35,992.54,0.4
HFAL,2017-05-01 10:00:00 EDT,10.2,9.0,9.6,92.0,88.2,90.8,0.00,0.00,1.3,5.2,197.2,1.5,6.0,198.1,161,992.29,991.92,992.08,0.6
HFAL,2017-05-01 11:00:00 EDT,11.8,10.3,11.0,89.1,83.9,86.6,0.00,0.00,2.0,5.0,193.7,2.3,5.7,194.5,243,991.83,991.42,991.65,0.9
HFAL,2017-05-01 12:00:00 EDT,13.4,12.0,12.7,83.9,78.2,80.9,0.00,0.00,1.8,3.9,211.6,2.1,4.6,213.2,365,991.49,990.74,991.18,1.3
HFAL,2017-05-01 13:00:00 EDT,15.1,13.5,14.4,77.9,73.9,75.4,0.00,0.00,1.9,4.9,185.9,2.2,4.9,186.8,440,990.69,989.78,990.17,1.6
HFAL,2017-05-01 14:00:00 EDT,15.9,15.0,15.6,77.3,74.7,76.3,0.00,0.00,1.7,4.2,204.6,2.0,5.1,206.7,304,989.58,988.56,989.08,1.1
HFAL,2017-05-01 15:00:00 EDT,15.8,14.7,15.4,82.5,76.1,79.7,0.00,0.00,2.3,8.7,183.9,2.7,9.6,185.2,170,988.53,987.60,988.20,0.6
HFAL,2017-05-01 16:00:00 EDT,15.9,14.2,14.8,83.8,81.4,82.7,0.00,0.00,2.1,6.8,159.8,2.5,8.0,160.6,100,987.76,986.66,987.25,0.4
HFAL,2017-05-01 17:00:00 EDT,17.4,16.2,17.0,81.7,77.6,78.8,0.00,0.00,0.8,3.1,146.4,1.1,4.2,142.1,212,986.51,985.16,985.84,0.8
HFAL,2017-05-01 18:00:00 EDT,18.5,17.0,17.7,78.8,73.8,76.3,0.00,0.00,0.7,2.4,30.8,0.9,2.8,34.2,202,985.18,983.46,984.60,0.7
HFAL,2017-05-01 19:00:00 EDT,18.7,18.1,18.4,76.4,72.9,75.1,0.00,0.00,0.6,2.5,359.1,0.8,3.0,1.6,100,983.99,983.32,983.74,0.4
HFAL,2017-05-01 20:00:00 EDT,18.9,16.5,17.9,83.6,77.0,79.2,0.00,0.00,0.7,2.2,96.3,0.9,2.8,98.0,20,983.83,983.01,983.30,0.1
