station,time_end,temp_2m_max [degC],temp_2m_min [degC],temp_2m_avg [degC],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],precip_incremental [mm],precip_local [mm],wind_speed_prop_avg [m/s],wind_speed_prop_max [m/s],wind_direction_prop_avg [degrees],wind_speed_sonic_avg [m/s],wind_speed_sonic_max [m/s],wind_direction_sonic_avg [degrees],solar_insolation_avg [W/m^2],station_pressure_max [mbar],station_pressure_min [mbar],station_pressure_avg [mbar],solar_insolation_total [MJ/m^2]
HFAL,2017-12-01 01:00:00 EST,5.2,4.3,4.9,96.4,91.1,93.8,0.00,0.00,0.7,2.7,193.6,0.9,4.0,195.0,0,992.93,992.76,992.81,0.0
HFAL,2017-12-01 02:00:00 EST,5.2,4.9,5.0,94.4,89.3,90.6,0.00,0.00,1.3,4.3,217.0,1.6,5.1,218.8,0,992.78,992.62,992.73,0.0
HFAL,2017-12-01 03:00:00 EST,6.1,5.0,5.7,89.9,85.4,87.3,0.00,0.00,1.5,5.7,232.4,1.8,5.4,236.1,0,992.98,992.71,992.84,0.0
HFAL,2017-12-01 04:00:00 EST,4.2,3.2,3.6,97.0,91.3,95.6,0.10,0.10,0.8,2.4,217.7,1.0,3.0,219.3,0,993.61,993.04,993.37,0.0
HFAL,2017-12-01 05:00:00 EST,4.6,3.0,3.6,94.8,88.5,91.1,0.00,0.10,1.1,3.0,216.0,1.3,3.3,218.0,0,994.62,993.67,994.17,0.0
HFAL,2017-12-01 06:00:00 EST,3.8,3.0,3.4,88.9,80.1,84.8,0.00,0.10,0.9,3.4,210.6,1.1,3.5,212.6,0,995.30,994.71,995.02,0.0
HFAL,2017-12-01 07:00:00 EST,3.8,2.9,3.4,85.0,80.7,83.3,0.00,0.10,1.1,3.2,216.9,1.3,3.6,219.6,0,996.21,995.39,995.80,0.0
HFAL,2017-12-01 08:00:00 EST,3.4,2.8,3.2,85.9,82.9,84.1,0.00,0.10,1.6,3.7,213.7,1.8,3.8,216.3,15,997.05,996.27,996.68,0.1
HFAL,2017-12-01 09:00:00 EST,4.4,3.6,4.2,82.2,75.5,78.6,0.00,0.10,1.7,3.8,214.9,1.9,4.4,219.0,41,997.75,997.09,997.41,0.1
HFAL,2017-12-01 10:00:00 EST,5.6,4.4,5.2,76.3,70.7,72.9,0.00,0.10,1.0,3.4,255.4,1.3,3.6,260.9,97,998.13,997.89,998.03,0.3
HFAL,2017-12-01 11:00:00 EST,7.5,5.8,6.3,74.5,63.7,70.5,0.00,0.10,0.9,4.1,307.3,1.2,5.1,309.9,201,998.46,998.13,998.30,0.7
HFAL,2017-12-01 12:00:00 EST,8.3,6.7,7.6,62.9,52.6,57.7,0.00,0.10,1.2,4.1,329.6,1.6,5.3,331.2,308,998.42,998.12,998.26,1.1
HFAL,2017-12-01 13:00:00 EST,8.7,7.8,8.3,57.7,49.4,52.3,0.00,0.10,1.5,5.8,334.8,1.9,6.9,335.7,339,998.32,998.15,998.24,1.2
HFAL,2017-12-01 14:00:00 EST,8.1,7.5,7.7,60.0,51.3,54.7,0.00,0.10,1.8,6.7,356.9,2.2,7.3,358.7,196,998.44,998.28,998.37,0.7
HFAL,2017-12-01 15:00:00 EST,7.5,6.4,7.3,56.2,51.4,53.5,0.00,0.10,1.4,5.1,339.3,1.7,5.7,342.0,108,998.83,998.46,998.60,0.4
