station,time_end,temp_2m_max [degC],temp_2m_min [degC],temp_2m_avg [degC],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],precip_incremental [mm],precip_local [mm],wind_speed_prop_avg [m/s],wind_speed_prop_max [m/s],wind_direction_prop_avg [degrees],wind_speed_sonic_avg [m/s],wind_speed_sonic_max [m/s],wind_direction_sonic_avg [degrees],solar_insolation_avg [W/m^2],station_pressure_max [mbar],station_pressure_min [mbar],station_pressure_avg [mbar],solar_insolation_total [MJ/m^2]
HFAL,2018-04-01 01:00:00 EDT,5.6,4.8,5.1,47.9,45.5,47.0,0.00,0.00,0.6,2.7,5.1,0.9,3.9,15.3,,993.39,993.03,993.21,
HFAL,2018-04-01 02:00:00 EDT,6.4,5.4,5.9,46.7,42.5,44.4,0.00,0.00,1.0,3.2,193.0,1.2,3.8,194.7,,993.06,992.34,992.66,
HFAL,2018-04-01 03:00:00 EDT,6.4,6.0,6.2,44.9,41.7,43.3,0.00,0.00,1.8,5.9,187.1,2.1,6.2,188.0,,992.27,991.18,991.71,
HFAL,2018-04-01 04:00:00 EDT,6.7,6.4,6.6,41.1,39.1,39.9,0.00,0.00,1.7,5.6,217.2,2.0,5.7,219.5,,991.12,990.34,990.71,
HFAL,2018-04-01 05:00:00 EDT,6.6,6.6,6.6,43.6,40.6,42.0,0.00,0.00,2.7,7.8,197.4,3.0,7.8,199.0,,990.29,989.67,989.94,
HFAL,2018-04-01 06:00:00 EDT,6.7,6.3,6.5,47.4,44.2,45.9,0.00,0.00,3.2,8.2,189.9,3.6,9.4,190.3,,989.65,989.23,989.45,
HFAL,2018-04-01 07:00:00 EDT,6.7,6.5,6.6,50.0,47.7,48.6,0.00,0.00,3.6,8.1,192.3,4.0,9.7,192.3,,989.21,989.04,989.13,
HFAL,2018-04-01 08:00:00 EDT,6.9,6.4,6.6,52.6,50.2,51.2,0.00,0.00,3.4,8.5,192.3,3.9,10.0,193.1,,989.25,988.99,989.12,
HFAL,2018-04-01 09:00:00 EDT,8.6,6.6,7.5,53.5,50.2,52.3,0.00,0.00,1.0,3.7,242.4,1.3,3.8,248.9,,989.95,989.37,989.66,
HFAL,2018-04-01 10:00:00 EDT,10.2,9.0,9.5,51.5,49.3,50.4,0.00,0.00,1.8,6.4,244.9,2.2,7.0,249.6,,990.43,989.94,990.11,
HFAL,2018-04-01 11:00:00 EDT,10.1,9.2,9.5,59.8,52.1,56.5,0.00,0.00,1.4,5.6,303.9,1.7,6.7,307.2,,991.08,990.56,990.83,
HFAL,2018-04-01 12:00:00 EDT,9.4,8.1,8.8,58.7,52.2,55.8,0.00,0.00,1.5,5.5,300.8,1.9,7.3,303.3,,992.18,991.25,991.76,
HFAL,2018-04-01 13:00:00 EDT,8.6,7.7,8.0,55.4,47.3,51.0,0.00,0.00,1.6,6.5,273.2,2.0,8.0,278.7,,992.35,992.01,992.19,
HFAL,2018-04-01 14:00:00 EDT,10.6,9.7,10.1,44.5,30.5,37.0,0.00,0.00,2.1,7.4,284.3,2.6,8.5,289.3,,992.29,992.14,992.20,
HFAL,2018-04-01 15:00:00 EDT,11.0,10.0,10.4,32.7,26.6,30.5,0.00,0.00,2.1,7.5,270.5,2.6,7.9,274.1,,992.13,991.88,991.98,
HFAL,2018-04-01 16:00:00 EDT,10.6,9.5,10.0,30.2,27.6,28.7,0.00,0.00,2.2,6.9,295.2,2.6,8.1,298.4,,992.47,991.96,992.15,
HFAL,2018-04-01 17:00:00 EDT,10.0,8.6,9.1,28.5,25.2,27.0,0.00,0.00,1.8,7.3,302.2,2.3,8.8,306.2,,993.16,992.48,992.80,
HFAL,2018-04-01 18:00:00 EDT,8.8,7.4,8.3,27.0,24.2,25.5,0.00,0.00,1.9,7.5,299.8,2.3,8.9,303.1,,993.69,993.22,993.49,
