station,time_end,temp_2m_max [degC],temp_2m_min [degC],temp_2m_avg [degC],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],precip_incremental [mm],precip_local [mm],wind_speed_prop_avg [m/s],wind_speed_prop_max [m/s],wind_direction_prop_avg [degrees],wind_speed_sonic_avg [m/s],wind_speed_sonic_max [m/s],wind_direction_sonic_avg [degrees],solar_insolation_avg [W/m^2],station_pressure_max [mbar],station_pressure_min [mbar],station_pressure_avg [mbar],solar_insolation_total [MJ/m^2]
HFAL,2018-02-01 01:00:00 EST,-2.7,-2.8,-2.7,53.5,52.7,53.1,0.00,0.00,2.0,5.3,187.7,2.4,6.4,189.4,0,992.03,991.92,991.98,0.0
HFAL,2018-02-01 02:00:00 EST,-2.5,-2.6,-2.6,54.1,53.0,53.6,0.00,0.00,2.1,5.1,190.2,2.4,6.7,190.8,0,991.92,991.82,991.86,0.0
HFAL,2018-02-01 03:00:00 EST,-2.3,-2.5,-2.4,54.6,53.9,54.3,0.00,0.00,2.4,7.0,186.6,2.7,8.6,188.1,0,991.80,991.69,991.74,0.0
HFAL,2018-02-01 04:00:00 EST,-2.2,-2.3,-2.2,55.3,54.4,54.8,0.00,0.00,2.4,5.1,190.0,2.8,6.3,190.7,0,991.74,991.14,991.47,0.0
HFAL,2018-02-01 05:00:00 EST,-2.2,-2.3,-2.2,56.9,55.1,56.1,0.00,0.00,1.9,5.1,192.8,2.2,6.0,194.1,0,991.15,991.04,991.09,0.0
HFAL,2018-02-01 06:00:00 EST,-2.0,-2.3,-2.1,58.1,56.9,57.5,0.00,0.00,1.2,4.2,202.8,1.4,5.6,204.8,0,991.22,990.91,991.03,0.0
HFAL,2018-02-01 07:00:00 EST,-1.7,-2.0,-1.8,59.1,58.2,58.6,0.00,0.00,0.7,4.2,219.3,1.0,4.8,223.4,0,990.90,990.58,990.75,0.0
HFAL,2018-02-01 08:00:00 EST,-1.8,-2.0,-1.8,59.5,58.3,59.1,0.00,0.00,0.7,2.7,196.4,0.9,3.1,195.1,7,990.59,989.80,990.20,0.0
HFAL,2018-02-01 09:00:00 EST,-1.6,-2.1,-1.9,59.1,58.3,58.8,0.00,0.00,1.7,4.0,192.5,2.0,4.3,193.6,33,990.22,989.92,990.06,0.1
HFAL,2018-02-01 10:00:00 EST,-0.8,-1.7,-1.2,58.8,57.9,58.3,0.00,0.00,0.6,3.4,241.5,0.8,4.3,247.1,44,990.23,989.92,990.08,0.2
HFAL,2018-02-01 11:00:00 EST,-0.5,-0.8,-0.7,59.2,57.7,58.1,0.00,0.00,0.5,1.6,283.4,0.7,2.4,286.8,58,990.45,989.97,990.25,0.2
HFAL,2018-02-01 12:00:00 EST,0.0,-0.4,-0.2,58.3,56.8,57.6,0.00,0.00,0.5,1.8,272.7,0.7,2.4,275.9,99,990.16,989.13,989.61,0.4
HFAL,2018-02-01 13:00:00 EST,0.4,0.0,0.3,57.9,56.9,57.2,0.00,0.00,0.7,2.1,225.6,0.9,2.4,229.2,96,989.07,988.44,988.81,0.3
HFAL,2018-02-01 14:00:00 EST,1.6,0.6,1.1,57.3,54.7,55.7,0.00,0.00,0.7,2.5,186.1,0.9,3.1,182.6,89,988.50,988.03,988.23,0.3
HFAL,2018-02-01 15:00:00 EST,2.1,1.6,1.9,55.3,53.9,54.6,0.00,0.00,0.5,2.5,152.2,0.7,3.3,153.0,71,988.03,987.54,987.83,0.3
HFAL,2018-02-01 16:00:00 EST,2.5,1.8,2.2,55.3,53.9,54.5,0.00,0.00,1.2,4.3,181.6,1.4,5.5,182.8,42,987.99,987.56,987.84,0.2
HFAL,2018-02-01 17:00:00 EST,3.5,2.4,2.9,55.4,52.4,53.9,0.00,0.00,1.0,5.0,225.7,1.3,5.1,227.7,16,987.89,987.61,987.76,0.1
